event,timestamp,python3.11,ALL_TASKS,cpu,gpu,cycle,accumulated_time
tokenizer,217.84,0.78,280.16,257,41,0,0.0
tokenizer,236.84,0.47,141.76,198,46,0,236.84
tokenizer,234.19,0.36,158.55,218,13,0,471.03
tokenizer,234.05,0.29,139.42,235,38,0,705.08
tokenizer,233.51,253.16,594.1,886,13,0,938.59
model load,217.39,0.55,272.77,248,14,0,1155.98
model load,235.3,0.47,626.22,1152,14,0,1391.28
model load,220.94,0.67,860.11,1009,106,0,1612.22
model load,229.9,0.38,218.9,335,181,0,1842.1200000000001
model load,235.94,13.15,214.42,305,13,0,2078.06
model load,232.8,122.77,411.73,752,13,0,2310.8599999999997
model load,226.66,266.52,1979.57,3362,13,0,2537.52
model load,218.14,312.02,638.13,3773,71,0,2755.66
model load,219.86,599.34,902.49,3266,37,0,2975.52
model load,218.07,321.73,631.43,3627,68,0,3193.5899999999997
model load,218.77,328.08,684.24,3702,78,0,3412.3599999999997
model load,218.28,332.52,645.09,3642,101,0,3630.64
model load,219.53,836.57,1171.24,3339,73,0,3850.17
model load,217.88,337.72,2096.93,5113,91,0,4068.05
model load,218.15,1159.2,4074.31,6133,92,0,4286.2
model load,218.67,1319.61,2191.77,3247,160,0,4504.87
model load,218.19,331.96,1208.93,4707,252,0,4723.0599999999995
model load,219.09,291.76,1192.18,4281,266,0,4942.15
model load,219.63,330.84,1067.49,4808,306,0,5161.78
model load,218.18,328.94,1033.06,4487,332,0,5379.96
model load,218.61,337.91,2504.46,6674,316,0,5598.57
model load,218.48,318.47,1350.27,5667,224,0,5817.05
model load,221.17,604.65,4010.02,7564,169,0,6038.22
model load,218.96,339.76,1603.62,5494,366,0,6257.18
model load,218.72,340.86,1801.78,5688,247,0,6475.9
model load,218.69,336.94,1647.83,5693,210,0,6694.59
model load,218.02,378.62,1709.13,5422,142,0,6912.61
model load,218.09,616.04,1734.98,4755,142,0,7130.7
model load,218.45,344.72,3017.22,6674,55,0,7349.15
model load,218.49,615.3,1764.67,4842,160,0,7567.639999999999
model load,218.94,606.43,1506.81,4330,124,0,7786.58
model load,218.51,56.96,711.33,892,78,0,8005.09
pipeline load,217.89,0.71,1036.36,1326,87,0,8222.98
pipeline load,239.28,0.54,427.87,631,87,0,8462.26
pipeline load,233.3,0.43,3146.11,4201,79,0,8695.56
inference,218.36,2749.59,3520.44,4447,921,0,8913.92
inference,219.04,2865.09,3637.32,4287,921,0,9132.96
inference,217.68,2847.23,5626.65,6785,1246,0,9350.64
inference,218.85,2579.94,5398.68,6498,983,0,9569.49
inference,218.79,2544.7,5259.08,6609,1129,0,9788.28
inference,218.96,2762.94,5157.78,6225,996,0,10007.24
inference,218.0,2547.7,5737.7,7197,1119,0,10225.24
inference,219.14,2598.78,5218.45,6489,830,0,10444.38
inference,218.68,2641.43,6277.89,7696,990,0,10663.06
inference,218.72,2543.05,5072.4,6323,1061,0,10881.78
inference,218.95,2486.53,6492.6,8303,892,0,11100.73
inference,219.54,2685.98,5776.09,6873,909,0,11320.27
inference,218.71,2542.44,5420.93,6785,1116,0,11538.98
inference,218.32,2541.11,5566.58,7077,1029,0,11757.3
inference,218.79,2697.16,5446.08,6696,866,0,11976.09
inference,218.18,2441.8,6694.45,8332,1124,0,12194.27
inference,219.16,2618.42,4771.45,5845,1150,0,12413.43
inference,218.17,2954.05,3278.13,4047,798,0,12631.6
inference,218.1,2738.78,3329.67,4026,1146,0,12849.7
inference,217.95,2944.61,3159.04,3804,798,0,13067.65
inference,218.9,2794.07,3165.87,3910,798,0,13286.55
inference,218.24,2925.41,3181.31,3689,1087,0,13504.789999999999
inference,218.7,2943.93,3199.59,3846,765,0,13723.49
inference,218.32,2943.1,3192.05,3724,974,0,13941.81
inference,218.27,2887.12,3241.47,3977,966,0,14160.08
inference,218.16,3071.18,3393.7,4015,660,0,14378.24
inference,218.2,2789.6,3152.52,3868,1293,0,14596.44
inference,218.19,2885.83,3275.89,4056,880,0,14814.63
inference,218.04,2908.06,3218.75,3990,742,0,15032.67
inference,217.85,2990.62,3291.21,3833,1041,0,15250.52
inference,218.38,2931.94,3171.06,3906,1001,0,15468.9
inference,218.06,3024.74,3272.47,3958,664,0,15686.96
inference,218.32,2889.74,3176.87,3884,1041,0,15905.28
inference,218.44,2957.3,3229.56,4001,962,0,16123.72
inference,217.95,3059.56,3312.6,3987,824,0,16341.669999999998
inference,218.28,2902.77,3154.81,3885,1120,0,16559.95
inference,218.16,2991.09,3296.57,4011,706,0,16778.11
inference,218.09,2907.95,3147.71,3856,972,0,16996.2
inference,218.13,3013.44,3300.94,4011,1059,0,17214.329999999998
inference,218.04,2907.07,3234.1,4096,706,0,17432.37
inference,218.13,2999.28,3245.01,3874,1105,0,17650.5
inference,218.37,2992.19,3243.64,4012,871,0,17868.87
inference,217.98,2990.53,3246.41,3927,916,0,18086.85
inference,218.11,2866.68,3767.4,4672,1101,0,18304.96
inference,218.77,2906.49,3195.61,3917,798,0,18523.73
inference,218.48,2806.09,3104.18,3932,677,0,18742.21
inference,218.05,2882.11,3126.18,3862,856,0,18960.26
inference,218.01,2888.77,3366.8,4110,839,0,19178.27
inference,217.83,2894.21,3144.3,3815,780,0,19396.1
inference,218.03,2746.9,2986.29,3821,849,0,19614.13
inference,218.12,2853.48,3157.64,3920,716,0,19832.25
inference,218.55,2862.85,3189.9,3999,706,0,20050.8
inference,218.3,2864.66,3157.65,3912,668,0,20269.1
inference,218.75,2884.71,3139.01,3904,705,0,20487.85
inference,218.63,2760.81,3169.29,4057,672,0,20706.48
inference,217.83,2840.05,3179.81,4031,800,0,20924.31
inference,217.84,2806.82,3145.12,4003,858,0,21142.15
inference,218.26,2823.06,3110.1,3904,813,0,21360.41
inference,217.97,2909.05,3153.64,3913,806,0,21578.38
inference,218.01,2878.83,3153.56,3835,826,0,21796.39
inference,218.16,2846.03,3091.39,3919,821,0,22014.55
inference,218.44,2815.5,3306.51,4175,683,0,22232.99
inference,218.87,2844.01,3106.05,3952,678,0,22451.86
inference,218.76,2898.1,3203.72,4009,676,0,22670.62
inference,218.88,2883.68,3248.04,4080,695,0,22889.5
inference,218.53,2830.69,3140.61,4036,722,0,23108.03
