timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/03/29 08:43:09.805, 25.09 W, 0 %, 0 %
2024/03/29 08:43:09.908, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.011, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.113, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.216, 25.03 W, 0 %, 0 %
2024/03/29 08:43:10.323, 25.09 W, 0 %, 0 %
2024/03/29 08:43:10.425, 25.09 W, 0 %, 0 %
2024/03/29 08:43:10.528, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.631, 25.09 W, 0 %, 0 %
2024/03/29 08:43:10.734, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.836, 25.10 W, 0 %, 0 %
2024/03/29 08:43:10.939, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.043, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.149, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.252, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.355, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.457, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.560, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.663, 25.09 W, 0 %, 0 %
2024/03/29 08:43:11.766, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.868, 25.10 W, 0 %, 0 %
2024/03/29 08:43:11.974, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.077, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.179, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.282, 25.09 W, 0 %, 0 %
2024/03/29 08:43:12.385, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.488, 25.09 W, 0 %, 0 %
2024/03/29 08:43:12.590, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.693, 25.09 W, 0 %, 0 %
2024/03/29 08:43:12.799, 25.10 W, 0 %, 0 %
2024/03/29 08:43:12.902, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.005, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.107, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.210, 25.09 W, 0 %, 0 %
2024/03/29 08:43:13.313, 25.07 W, 0 %, 0 %
2024/03/29 08:43:13.416, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.518, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.625, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.727, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.830, 25.10 W, 0 %, 0 %
2024/03/29 08:43:13.933, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.035, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.137, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.240, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.347, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.450, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.553, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.655, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.758, 25.10 W, 0 %, 0 %
2024/03/29 08:43:14.861, 25.08 W, 0 %, 0 %
2024/03/29 08:43:14.964, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.069, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.172, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.275, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.377, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.480, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.583, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.686, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.790, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.893, 25.10 W, 0 %, 0 %
2024/03/29 08:43:15.996, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.099, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.202, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.305, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.412, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.515, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.618, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.721, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.824, 25.10 W, 0 %, 0 %
2024/03/29 08:43:16.926, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.033, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.136, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.238, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.341, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.444, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.546, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.649, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.754, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.857, 25.10 W, 0 %, 0 %
2024/03/29 08:43:17.960, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.062, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.165, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.268, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.375, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.478, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.581, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.684, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.786, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.889, 25.10 W, 0 %, 0 %
2024/03/29 08:43:18.992, 25.10 W, 0 %, 0 %
2024/03/29 08:43:19.097, 25.09 W, 0 %, 0 %
2024/03/29 08:43:19.200, 25.10 W, 0 %, 0 %
2024/03/29 08:43:19.302, 25.10 W, 0 %, 0 %
2024/03/29 08:43:19.405, 25.10 W, 0 %, 0 %
2024/03/29 08:43:19.508, 25.10 W, 0 %, 0 %
2024/03/29 08:43:19.610, 25.09 W, 0 %, 0 %
2024/03/29 08:43:19.723, 36.25 W, 0 %, 0 %
2024/03/29 08:43:19.826, 36.15 W, 10 %, 1 %
2024/03/29 08:43:19.929, 36.15 W, 10 %, 1 %
2024/03/29 08:43:20.031, 36.25 W, 6 %, 0 %
2024/03/29 08:43:20.134, 36.34 W, 6 %, 0 %
2024/03/29 08:43:20.238, 36.25 W, 4 %, 0 %
2024/03/29 08:43:20.340, 36.34 W, 4 %, 0 %
2024/03/29 08:43:20.443, 36.34 W, 4 %, 0 %
2024/03/29 08:43:20.546, 36.25 W, 4 %, 0 %
2024/03/29 08:43:20.649, 36.15 W, 4 %, 0 %
2024/03/29 08:43:20.751, 36.25 W, 4 %, 0 %
2024/03/29 08:43:20.854, 36.25 W, 4 %, 0 %
2024/03/29 08:43:20.959, 36.25 W, 4 %, 0 %
2024/03/29 08:43:21.062, 36.15 W, 2 %, 0 %
2024/03/29 08:43:21.164, 36.25 W, 0 %, 0 %
2024/03/29 08:43:21.267, 36.25 W, 0 %, 0 %
2024/03/29 08:43:21.370, 36.15 W, 0 %, 0 %
2024/03/29 08:43:21.472, 36.22 W, 0 %, 0 %
2024/03/29 08:43:21.576, 36.22 W, 0 %, 0 %
2024/03/29 08:43:21.681, 37.11 W, 5 %, 0 %
2024/03/29 08:43:21.784, 36.32 W, 5 %, 0 %
2024/03/29 08:43:21.886, 36.22 W, 13 %, 1 %
2024/03/29 08:43:21.989, 36.51 W, 10 %, 1 %
2024/03/29 08:43:22.092, 36.49 W, 10 %, 1 %
2024/03/29 08:43:22.195, 36.22 W, 5 %, 0 %
2024/03/29 08:43:22.297, 36.21 W, 5 %, 0 %
2024/03/29 08:43:22.403, 36.48 W, 9 %, 0 %
2024/03/29 08:43:22.506, 36.21 W, 11 %, 1 %
2024/03/29 08:43:22.608, 36.20 W, 11 %, 1 %
2024/03/29 08:43:22.711, 36.39 W, 9 %, 0 %
2024/03/29 08:43:22.814, 36.29 W, 9 %, 0 %
2024/03/29 08:43:22.916, 36.21 W, 8 %, 0 %
2024/03/29 08:43:23.020, 36.77 W, 8 %, 0 %
2024/03/29 08:43:23.124, 36.41 W, 8 %, 0 %
2024/03/29 08:43:23.227, 36.39 W, 11 %, 1 %
2024/03/29 08:43:23.330, 36.22 W, 5 %, 0 %
2024/03/29 08:43:23.432, 36.43 W, 5 %, 0 %
2024/03/29 08:43:23.535, 36.32 W, 5 %, 0 %
2024/03/29 08:43:23.638, 36.49 W, 5 %, 0 %
2024/03/29 08:43:23.741, 36.20 W, 11 %, 1 %
2024/03/29 08:43:23.845, 36.70 W, 6 %, 0 %
2024/03/29 08:43:23.948, 36.22 W, 6 %, 0 %
2024/03/29 08:43:24.051, 36.29 W, 12 %, 1 %
2024/03/29 08:43:24.153, 36.41 W, 12 %, 1 %
2024/03/29 08:43:24.256, 36.32 W, 8 %, 0 %
2024/03/29 08:43:24.359, 36.21 W, 9 %, 0 %
2024/03/29 08:43:24.461, 36.20 W, 9 %, 0 %
2024/03/29 08:43:24.567, 36.32 W, 8 %, 0 %
2024/03/29 08:43:24.670, 36.22 W, 8 %, 0 %
2024/03/29 08:43:24.772, 36.20 W, 8 %, 0 %
2024/03/29 08:43:24.875, 36.40 W, 9 %, 0 %
2024/03/29 08:43:24.978, 36.21 W, 9 %, 0 %
2024/03/29 08:43:25.082, 36.48 W, 7 %, 0 %
2024/03/29 08:43:25.185, 36.40 W, 11 %, 1 %
2024/03/29 08:43:25.288, 36.39 W, 11 %, 1 %
2024/03/29 08:43:25.391, 36.88 W, 9 %, 0 %
2024/03/29 08:43:25.494, 36.21 W, 9 %, 0 %
2024/03/29 08:43:25.596, 36.29 W, 9 %, 0 %
2024/03/29 08:43:25.699, 36.31 W, 10 %, 0 %
2024/03/29 08:43:25.802, 36.21 W, 10 %, 0 %
2024/03/29 08:43:25.904, 36.20 W, 7 %, 0 %
2024/03/29 08:43:26.007, 36.40 W, 12 %, 1 %
2024/03/29 08:43:26.110, 36.20 W, 12 %, 1 %
2024/03/29 08:43:26.214, 36.88 W, 8 %, 0 %
2024/03/29 08:43:26.317, 36.39 W, 8 %, 0 %
2024/03/29 08:43:26.420, 36.51 W, 11 %, 1 %
2024/03/29 08:43:26.523, 36.77 W, 5 %, 0 %
2024/03/29 08:43:26.626, 36.42 W, 5 %, 0 %
2024/03/29 08:43:26.729, 36.59 W, 9 %, 0 %
2024/03/29 08:43:26.835, 36.59 W, 9 %, 0 %
2024/03/29 08:43:26.938, 36.31 W, 11 %, 1 %
2024/03/29 08:43:27.040, 36.20 W, 9 %, 0 %
2024/03/29 08:43:27.143, 36.20 W, 9 %, 0 %
2024/03/29 08:43:27.246, 36.41 W, 8 %, 0 %
2024/03/29 08:43:27.349, 36.29 W, 8 %, 0 %
2024/03/29 08:43:27.454, 36.87 W, 8 %, 0 %
2024/03/29 08:43:27.557, 36.29 W, 11 %, 1 %
2024/03/29 08:43:27.659, 36.58 W, 11 %, 1 %
