timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/03/31 16:48:55.963, 24.51 W, 0 %, 0 %
2024/03/31 16:48:56.066, 24.51 W, 0 %, 0 %
2024/03/31 16:48:56.168, 24.41 W, 0 %, 0 %
2024/03/31 16:48:56.271, 24.51 W, 0 %, 0 %
2024/03/31 16:48:56.379, 24.51 W, 0 %, 0 %
2024/03/31 16:48:56.482, 24.41 W, 0 %, 0 %
2024/03/31 16:48:56.584, 24.41 W, 0 %, 0 %
2024/03/31 16:48:56.688, 24.43 W, 0 %, 0 %
2024/03/31 16:48:56.790, 24.50 W, 0 %, 0 %
2024/03/31 16:48:56.900, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.003, 24.41 W, 0 %, 0 %
2024/03/31 16:48:57.106, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.208, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.311, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.414, 24.41 W, 0 %, 0 %
2024/03/31 16:48:57.521, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.624, 24.41 W, 0 %, 0 %
2024/03/31 16:48:57.727, 24.51 W, 0 %, 0 %
2024/03/31 16:48:57.830, 24.41 W, 0 %, 0 %
2024/03/31 16:48:57.933, 24.41 W, 0 %, 0 %
2024/03/31 16:48:58.035, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.143, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.246, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.348, 24.41 W, 0 %, 0 %
2024/03/31 16:48:58.451, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.554, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.656, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.764, 24.51 W, 0 %, 0 %
2024/03/31 16:48:58.867, 24.41 W, 0 %, 0 %
2024/03/31 16:48:58.969, 24.51 W, 0 %, 0 %
2024/03/31 16:48:59.072, 24.41 W, 0 %, 0 %
2024/03/31 16:48:59.175, 24.51 W, 0 %, 0 %
2024/03/31 16:48:59.285, 24.51 W, 0 %, 0 %
2024/03/31 16:48:59.387, 24.41 W, 0 %, 0 %
2024/03/31 16:48:59.490, 24.41 W, 0 %, 0 %
2024/03/31 16:48:59.594, 24.41 W, 0 %, 0 %
2024/03/31 16:48:59.696, 24.51 W, 0 %, 0 %
2024/03/31 16:48:59.806, 24.42 W, 0 %, 0 %
2024/03/31 16:48:59.909, 24.41 W, 0 %, 0 %
2024/03/31 16:49:00.011, 24.51 W, 0 %, 0 %
2024/03/31 16:49:00.114, 24.51 W, 0 %, 0 %
2024/03/31 16:49:00.217, 24.41 W, 0 %, 0 %
2024/03/31 16:49:00.319, 24.41 W, 0 %, 0 %
2024/03/31 16:49:00.427, 24.41 W, 0 %, 0 %
2024/03/31 16:49:00.530, 24.51 W, 0 %, 0 %
2024/03/31 16:49:00.633, 24.41 W, 0 %, 0 %
2024/03/31 16:49:00.736, 24.51 W, 0 %, 0 %
2024/03/31 16:49:00.838, 24.51 W, 0 %, 0 %
2024/03/31 16:49:00.941, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.049, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.151, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.254, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.357, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.460, 24.51 W, 0 %, 0 %
2024/03/31 16:49:01.569, 24.41 W, 0 %, 0 %
2024/03/31 16:49:01.672, 24.41 W, 0 %, 0 %
2024/03/31 16:49:01.775, 24.41 W, 0 %, 0 %
2024/03/31 16:49:01.877, 24.41 W, 0 %, 0 %
2024/03/31 16:49:01.980, 24.51 W, 0 %, 0 %
2024/03/31 16:49:02.083, 24.51 W, 0 %, 0 %
2024/03/31 16:49:02.191, 24.51 W, 0 %, 0 %
2024/03/31 16:49:02.294, 24.41 W, 0 %, 0 %
2024/03/31 16:49:02.398, 24.41 W, 0 %, 0 %
2024/03/31 16:49:02.500, 24.41 W, 0 %, 0 %
2024/03/31 16:49:02.603, 24.41 W, 0 %, 0 %
2024/03/31 16:49:02.712, 24.51 W, 0 %, 0 %
2024/03/31 16:49:02.815, 24.41 W, 0 %, 0 %
2024/03/31 16:49:02.918, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.021, 24.47 W, 0 %, 0 %
2024/03/31 16:49:03.123, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.233, 24.41 W, 0 %, 0 %
2024/03/31 16:49:03.336, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.439, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.542, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.645, 24.41 W, 0 %, 0 %
2024/03/31 16:49:03.754, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.857, 24.51 W, 0 %, 0 %
2024/03/31 16:49:03.959, 24.51 W, 0 %, 0 %
2024/03/31 16:49:04.062, 24.51 W, 0 %, 0 %
2024/03/31 16:49:04.165, 24.41 W, 0 %, 0 %
2024/03/31 16:49:04.268, 24.51 W, 0 %, 0 %
2024/03/31 16:49:04.375, 24.40 W, 0 %, 0 %
2024/03/31 16:49:04.478, 24.37 W, 0 %, 0 %
2024/03/31 16:49:04.581, 24.41 W, 0 %, 0 %
2024/03/31 16:49:04.684, 24.41 W, 0 %, 0 %
2024/03/31 16:49:04.787, 24.41 W, 0 %, 0 %
2024/03/31 16:49:04.896, 24.51 W, 0 %, 0 %
2024/03/31 16:49:04.998, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.102, 24.41 W, 0 %, 0 %
2024/03/31 16:49:05.205, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.308, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.417, 24.41 W, 0 %, 0 %
2024/03/31 16:49:05.520, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.622, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.725, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.828, 24.51 W, 0 %, 0 %
2024/03/31 16:49:05.931, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.038, 24.41 W, 0 %, 0 %
2024/03/31 16:49:06.141, 24.41 W, 0 %, 0 %
2024/03/31 16:49:06.243, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.346, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.449, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.552, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.659, 24.41 W, 0 %, 0 %
2024/03/31 16:49:06.762, 24.51 W, 0 %, 0 %
2024/03/31 16:49:06.865, 24.41 W, 0 %, 0 %
2024/03/31 16:49:06.967, 24.51 W, 0 %, 0 %
2024/03/31 16:49:07.070, 24.32 W, 0 %, 0 %
2024/03/31 16:49:07.173, 24.41 W, 0 %, 0 %
2024/03/31 16:49:07.281, 35.37 W, 0 %, 0 %
2024/03/31 16:49:07.383, 35.86 W, 14 %, 1 %
2024/03/31 16:49:07.486, 35.76 W, 5 %, 0 %
2024/03/31 16:49:07.589, 35.86 W, 5 %, 0 %
2024/03/31 16:49:07.691, 35.76 W, 6 %, 0 %
2024/03/31 16:49:07.794, 35.76 W, 6 %, 0 %
2024/03/31 16:49:07.897, 35.86 W, 4 %, 0 %
2024/03/31 16:49:08.000, 35.76 W, 4 %, 0 %
2024/03/31 16:49:08.103, 35.76 W, 4 %, 0 %
2024/03/31 16:49:08.206, 35.86 W, 3 %, 0 %
2024/03/31 16:49:08.310, 35.86 W, 3 %, 0 %
2024/03/31 16:49:08.413, 35.76 W, 3 %, 0 %
2024/03/31 16:49:08.516, 35.86 W, 3 %, 0 %
2024/03/31 16:49:08.619, 35.76 W, 3 %, 0 %
2024/03/31 16:49:08.722, 35.66 W, 1 %, 0 %
2024/03/31 16:49:08.825, 35.86 W, 0 %, 0 %
2024/03/31 16:49:08.928, 35.67 W, 0 %, 0 %
2024/03/31 16:49:09.030, 35.76 W, 0 %, 0 %
2024/03/31 16:49:09.133, 35.76 W, 0 %, 0 %
2024/03/31 16:49:09.236, 35.66 W, 0 %, 0 %
2024/03/31 16:49:09.341, 35.76 W, 0 %, 0 %
2024/03/31 16:49:09.444, 35.86 W, 0 %, 0 %
2024/03/31 16:49:09.546, 35.86 W, 0 %, 0 %
2024/03/31 16:49:09.649, 35.84 W, 0 %, 0 %
2024/03/31 16:49:09.752, 35.86 W, 4 %, 0 %
2024/03/31 16:49:09.855, 35.94 W, 4 %, 0 %
2024/03/31 16:49:09.957, 35.95 W, 4 %, 0 %
2024/03/31 16:49:10.062, 35.84 W, 4 %, 0 %
2024/03/31 16:49:10.165, 35.85 W, 5 %, 0 %
2024/03/31 16:49:10.268, 35.85 W, 5 %, 0 %
2024/03/31 16:49:10.371, 35.85 W, 5 %, 0 %
2024/03/31 16:49:10.473, 35.85 W, 5 %, 0 %
2024/03/31 16:49:10.576, 35.84 W, 4 %, 0 %
2024/03/31 16:49:10.679, 35.86 W, 4 %, 0 %
2024/03/31 16:49:10.784, 35.86 W, 4 %, 0 %
2024/03/31 16:49:10.887, 35.86 W, 3 %, 0 %
2024/03/31 16:49:10.989, 35.86 W, 3 %, 0 %
2024/03/31 16:49:11.092, 35.76 W, 3 %, 0 %
2024/03/31 16:49:11.195, 35.76 W, 1 %, 0 %
2024/03/31 16:49:11.297, 35.84 W, 1 %, 0 %
2024/03/31 16:49:11.400, 35.84 W, 3 %, 0 %
2024/03/31 16:49:11.506, 35.85 W, 3 %, 0 %
2024/03/31 16:49:11.608, 35.86 W, 3 %, 0 %
