Zeta,Total Energy (kWh),Accuracy (%),Runtime (s),Mean Service Time (s),Num Queries Llama-2 (7B),Num Queries Llama-2 (13B),Num Queries Llama-2 (70B),Mean Wait Time (s),Method,Scheduler
0.0,832.8565499942003,62.91273675312944,14746821.199284285,283.5818083782217,295,8549,43158,184.67704749833248,Online,True
0.1,792.3087926147908,62.52051984903846,14289405.081009539,274.78568287776505,5,11789,40208,180.22179110450634,Online,True
0.2,865.5716450496253,63.27762454331882,17562765.230570477,337.7324954919133,0,7461,44541,235.2614773194392,Online,True
0.30000000000000004,804.2570489606092,62.65318806778394,13282289.3988044,255.41881848398907,0,10814,41188,159.5652994746625,Online,True
0.4,808.0396527010614,62.691857615720295,15026905.303092362,288.96783398893047,1,10482,41519,192.70620796521985,Online,True
0.5,154.73653396196192,53.815411736749276,14080530.306591863,270.7690147800443,26133,21148,4721,246.8322958192543,Online,True
0.6000000000000001,74.84442178893721,50.98332289376394,55966398.01860287,1076.2354913003899,51790,126,86,1062.5256547391036,Online,True
0.7000000000000001,74.76994395885333,50.97079496192632,56919041.01978315,1094.5548444248902,51998,2,2,1080.8538824222942,Online,True
0.8,74.77019134594639,50.970000000000006,56921401.67541978,1094.6002399026918,52002,0,0,1080.8991932858885,Online,True
0.9,74.77019134594639,50.970000000000006,56921401.67541978,1094.6002399026918,52002,0,0,1080.8991932858885,Online,True
1.0,74.77019134594639,50.970000000000006,56921401.67541978,1094.6002399026918,52002,0,0,1080.8991932858885,Online,True
0.0,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.1,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.2,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.30000000000000004,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.4,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.5,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.6000000000000001,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.7000000000000001,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.8,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.9,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
1.0,396.88326362026027,57.05032585101024,3218472.218136859,61.89131606739854,17334,17334,17334,11.142389918019676,Round Robin,True
0.0,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.1,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.2,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.30000000000000004,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.4,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.5,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.6000000000000001,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.7000000000000001,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.8,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.9,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
1.0,397.09822121726893,57.04097244260367,3054170.78828316,58.731794705649015,17473,17237,17292,7.9668538692773385,Random,True
0.0,74.77019134594639,50.970000000000006,712481.826167,13.7010466168032,52002,0,0,,Llama-2 (7B),False
