event,timestamp,python3.11,ALL_TASKS,cpu,gpu,cycle,accumulated_time
tokenizer,216.22,0.85,239.06,333,65,0,0.0
tokenizer,221.3,0.76,248.99,167,65,0,221.29999999999998
tokenizer,234.61,0.31,52.83,107,0,0,455.90999999999997
tokenizer,231.78,0.32,104.84,108,0,0,687.69
tokenizer,232.81,80.79,194.47,374,0,0,920.5
tokenizer,230.28,51.16,167.06,265,0,0,1150.78
model load,217.19,0.58,204.17,198,0,0,1367.97
model load,222.83,0.47,135.3,121,0,0,1590.8
model load,235.95,0.35,95.23,110,0,0,1826.75
model load,233.72,0.33,137.54,175,0,0,2060.4700000000003
model load,236.69,7.47,136.12,224,51,0,2297.1600000000003
model load,236.3,120.41,304.23,652,17,0,2533.46
model load,221.35,314.44,15065.9,17543,13,0,2754.8100000000004
model load,218.4,8206.42,8666.02,11310,0,0,2973.21
model load,219.0,3300.93,3849.7,7265,18,0,3192.21
model load,219.0,3611.86,4105.79,8018,100,0,3411.21
model load,217.7,3954.02,4593.06,9398,59,0,3628.9100000000003
model load,219.59,3955.38,4658.49,9459,101,0,3848.5000000000005
model load,219.03,3543.63,4104.81,7976,46,0,4067.53
model load,219.73,4079.03,4628.55,9129,55,0,4287.259999999999
model load,217.82,3480.88,3960.89,8007,77,0,4505.08
model load,218.61,3440.95,4061.57,8046,64,0,4723.69
model load,218.68,2434.79,3392.54,6837,82,0,4942.37
model load,220.22,3063.39,3955.25,7888,23,0,5162.59
model load,218.34,3161.52,3883.08,9297,27,0,5380.929999999999
model load,217.81,2995.37,3743.96,8957,23,0,5598.74
model load,218.64,3165.46,3918.88,9157,69,0,5817.38
model load,218.54,2546.54,3312.84,7541,14,0,6035.92
model load,219.26,3133.08,3876.7,9286,32,0,6255.179999999999
model load,217.7,2961.22,3672.12,8539,9,0,6472.88
model load,217.8,3162.56,3969.35,8884,41,0,6690.679999999999
model load,218.41,2322.46,3074.57,6772,78,0,6909.09
model load,218.8,3097.69,3893.42,9292,9,0,7127.889999999999
model load,218.22,3037.04,4878.48,9944,87,0,7346.11
model load,217.85,2933.89,4044.26,9047,247,0,7563.96
model load,217.97,3160.75,4247.35,10249,252,0,7781.929999999999
model load,218.97,2540.89,3577.46,7905,271,0,8000.900000000001
model load,218.07,3053.75,4146.47,9657,292,0,8218.970000000001
model load,218.67,2713.88,5721.95,10573,266,0,8437.640000000001
model load,219.75,1691.75,4224.86,9884,284,0,8657.390000000001
model load,230.46,2889.75,4208.56,9268,46,0,8887.85
model load,218.22,793.43,3478.22,6544,13,0,9106.070000000002
model load,489.81,2.79,1487.1,3830,50,0,9595.880000000001
model load,489.04,15.35,1794.07,1930,43,0,10084.92
model load,240.05,95.22,3693.38,6836,35,0,10324.970000000001
model load,280.72,344.51,2438.23,3983,433,0,10605.69
model load,221.63,2433.56,4388.63,10120,132,0,10827.320000000002
model load,219.0,2644.8,4203.52,9246,117,0,11046.320000000002
model load,217.87,2784.69,4285.07,10249,123,0,11264.19
model load,220.53,2045.86,5688.86,10343,179,0,11484.720000000001
model load,220.02,690.34,3537.39,6168,862,0,11704.740000000002
model load,218.3,2745.83,7131.59,11012,827,0,11923.04
model load,219.16,1565.06,3194.27,5895,206,0,12142.2
model load,219.54,2942.84,4101.84,9087,146,0,12361.740000000002
model load,217.42,2694.95,3352.17,6904,123,0,12579.16
model load,218.44,2418.5,5666.82,10639,133,0,12797.6
model load,218.17,3087.17,3879.32,9067,101,0,13015.77
model load,218.82,3154.99,3940.63,8838,28,0,13234.59
model load,218.09,294.02,1718.26,2944,37,0,13452.68
model load,224.5,1802.79,3050.81,5880,0,0,13677.18
model load,217.22,2479.34,3024.27,7264,76,0,13894.400000000001
model load,218.17,3187.99,3937.57,9460,9,0,14112.570000000002
model load,219.16,3034.54,4426.88,8669,14,0,14331.730000000001
