event,timestamp,python3.11,ALL_TASKS,cpu,gpu,cycle,accumulated_time
tokenizer,217.0,0.63,225.7,157,0,0,0.0
tokenizer,238.85,0.47,86.87,138,0,0,238.85000000000002
tokenizer,236.69,0.3,105.36,135,0,0,475.53999999999996
tokenizer,234.64,0.27,120.1,145,0,0,710.18
tokenizer,237.25,215.34,307.64,426,0,0,947.4300000000001
tokenizer,222.37,7.04,171.22,189,0,0,1169.8
pipeline load,216.72,0.43,229.56,194,0,0,1386.52
pipeline load,238.28,0.49,108.53,168,0,0,1624.8
pipeline load,234.01,0.39,115.46,150,0,0,1858.81
pipeline load,233.49,0.32,132.75,206,0,0,2092.3
pipeline load,235.86,8.3,124.55,174,0,0,2328.16
pipeline load,233.87,391.23,4058.22,5050,0,0,2562.03
pipeline load,218.38,452.56,817.54,3357,38,0,2780.41
pipeline load,219.8,311.96,585.26,3530,60,0,3000.21
pipeline load,220.8,309.87,598.14,3528,23,0,3221.01
pipeline load,220.36,311.13,635.01,3630,27,0,3441.37
pipeline load,217.43,299.43,579.58,3500,18,0,3658.8
pipeline load,219.95,471.54,932.02,3214,28,0,3878.75
pipeline load,223.61,381.21,1054.56,3627,9,0,4102.36
pipeline load,219.95,300.92,657.32,3483,31,0,4322.31
pipeline load,219.74,297.72,755.32,3805,27,0,4542.05
pipeline load,219.61,281.19,819.68,3588,14,0,4761.66
pipeline load,218.36,328.57,840.99,3765,18,0,4980.02
pipeline load,221.01,306.33,830.08,3679,18,0,5201.03
pipeline load,218.06,456.61,1348.72,3517,18,0,5419.09
pipeline load,218.77,380.95,932.72,3730,0,0,5637.86
pipeline load,220.3,291.0,852.23,3936,27,0,5858.16
pipeline load,218.2,132.03,1415.42,3831,5,0,6076.36
pipeline load,230.43,273.27,947.95,3715,9,0,6306.79
pipeline load,218.48,238.19,958.85,3959,26,0,6525.27
pipeline load,222.22,293.45,949.64,3816,14,0,6747.49
pipeline load,217.97,216.63,1307.47,3890,14,0,6965.46
pipeline load,216.65,135.76,1886.4,3789,18,0,7182.11
pipeline load,218.07,276.4,1024.2,4113,9,0,7400.18
pipeline load,217.3,409.11,1930.02,3244,9,0,7617.4800000000005
pipeline load,218.65,352.2,760.33,3595,0,0,7836.13
pipeline load,218.84,311.23,925.88,3884,18,0,8054.969999999999
pipeline load,218.35,313.86,779.05,3728,23,0,8273.32
pipeline load,220.84,315.99,1152.34,4071,9,0,8494.16
pipeline load,217.85,301.99,795.07,3801,41,0,8712.01
pipeline load,217.25,307.42,766.41,3692,9,0,8929.26
pipeline load,218.82,293.31,1323.08,3510,28,0,9148.08
pipeline load,219.19,325.54,1623.65,3394,5,0,9367.27
pipeline load,218.45,320.96,647.42,3548,5,0,9585.72
pipeline load,219.93,333.99,605.28,3533,5,0,9805.65
pipeline load,220.71,330.36,599.81,3511,41,0,10026.36
pipeline load,220.78,356.92,637.07,3488,14,0,10247.14
pipeline load,220.7,334.16,604.68,3503,18,0,10467.84
pipeline load,220.69,335.68,595.95,3503,18,0,10688.53
pipeline load,220.54,345.45,603.65,3487,27,0,10909.07
pipeline load,218.42,263.38,1987.08,3141,9,0,11127.49
pipeline load,220.08,162.51,2231.78,4744,0,0,11347.57
pipeline load,322.49,245.96,905.95,2918,9,0,11670.06
pipeline load,217.62,307.55,811.04,3754,12,0,11887.68
pipeline load,217.6,267.3,1060.78,3980,18,0,12105.28
pipeline load,216.84,263.25,825.11,3574,23,0,12322.12
pipeline load,217.73,245.97,736.45,3252,14,0,12539.85
pipeline load,219.07,277.21,687.25,3574,9,0,12758.92
pipeline load,219.95,293.29,950.72,4105,41,0,12978.87
pipeline load,219.58,227.08,1625.32,3402,18,0,13198.45
pipeline load,218.46,295.91,1493.48,3378,0,0,13416.91
pipeline load,217.66,276.38,1158.57,3969,5,0,13634.57
pipeline load,217.79,280.57,1035.72,3917,28,0,13852.36
pipeline load,219.28,286.69,687.65,3521,51,0,14071.64
pipeline load,219.53,336.75,610.13,3425,14,0,14291.17
pipeline load,220.35,334.38,687.13,3544,32,0,14511.52
pipeline load,220.44,197.79,1646.7,4750,18,0,14731.96
pipeline load,256.03,152.88,1731.59,4605,50,0,14987.99
pipeline load,327.9,473.9,1314.41,2162,8,0,15315.89
pipeline load,217.74,272.91,847.64,3794,3,0,15533.63
pipeline load,217.24,154.24,2051.83,4723,9,0,15750.87
pipeline load,217.78,227.27,1077.99,4128,41,0,15968.65
pipeline load,217.68,247.96,1051.7,3202,9,0,16186.330000000002
pipeline load,222.12,233.46,1017.73,3917,23,0,16408.45
pipeline load,219.06,247.37,953.99,3616,9,0,16627.51
pipeline load,217.87,226.41,1786.95,4746,18,0,16845.38
pipeline load,217.21,239.95,1102.17,4088,60,0,17062.59
pipeline load,217.4,195.03,1406.62,4494,28,0,17279.99
pipeline load,218.01,275.86,5610.89,10390,0,0,17498.0
pipeline load,222.14,315.14,5265.68,9291,0,0,17720.14
pipeline load,217.85,30.16,5141.24,8823,45,0,17937.99
pipeline load,216.57,49.56,4035.98,8113,0,0,18154.56
pipeline load,218.21,51.34,1128.43,1508,0,0,18372.77
pipeline load,216.23,320.3,1253.95,2974,0,0,18589.0
pipeline load,217.78,317.69,793.4,3889,28,0,18806.78
pipeline load,219.17,311.2,585.45,3527,73,0,19025.95
pipeline load,219.76,290.24,742.03,3777,18,0,19245.71
pipeline load,219.16,218.91,965.04,3938,32,0,19464.87
pipeline load,220.29,221.94,1189.39,3545,14,0,19685.16
pipeline load,221.49,317.8,847.03,3770,14,0,19906.65
pipeline load,220.69,255.93,2323.37,5388,59,0,20127.34
pipeline load,218.92,365.38,5464.34,10017,0,0,20346.26
pipeline load,217.67,28.16,3400.48,6418,9,0,20563.93
pipeline load,217.5,29.51,4185.05,7710,0,0,20781.43
pipeline load,218.56,50.35,1917.39,3088,23,0,20999.99
pipeline load,219.2,120.18,347.46,1195,0,0,21219.19
pipeline load,219.19,302.95,588.09,3490,23,0,21438.38
pipeline load,221.01,302.64,822.98,3452,9,0,21659.39
pipeline load,220.07,504.87,900.86,3803,32,0,21879.46
pipeline load,220.98,646.98,989.47,3611,23,0,22100.44
pipeline load,217.62,318.63,769.93,3819,68,0,22318.06
pipeline load,218.7,216.33,2830.3,5953,23,0,22536.76
pipeline load,218.45,261.04,2210.36,5704,9,0,22755.21
pipeline load,219.45,475.27,1033.69,3577,37,0,22974.66
pipeline load,217.3,431.44,702.39,3534,27,0,23191.96
pipeline load,219.8,317.38,589.59,3508,5,0,23411.76
pipeline load,220.23,304.53,651.51,3628,41,0,23631.99
pipeline load,219.2,312.29,723.44,3796,32,0,23851.19
pipeline load,220.67,321.82,600.96,3585,0,0,24071.86
pipeline load,220.66,346.72,638.48,3653,41,0,24292.52
pipeline load,219.64,595.16,1038.42,3497,27,0,24512.16
pipeline load,218.28,319.38,589.9,3592,32,0,24730.44
pipeline load,220.23,319.92,589.97,3569,9,0,24950.67
pipeline load,220.53,316.99,585.73,3578,32,0,25171.2
pipeline load,220.87,313.9,601.36,3436,14,0,25392.07
pipeline load,220.6,329.63,597.52,3296,23,0,25612.67
pipeline load,219.03,353.66,771.12,3091,27,0,25831.7
pipeline load,220.18,535.38,1550.28,4156,0,0,26051.88
pipeline load,218.04,310.41,770.97,3784,14,0,26269.92
pipeline load,221.27,301.08,718.58,3787,32,0,26491.19
pipeline load,219.74,304.03,722.22,3754,9,0,26710.93
pipeline load,220.25,614.14,994.73,3446,32,0,26931.18
pipeline load,217.34,38.31,382.91,456,14,0,27148.52
inference,217.8,498.13,787.76,3760,0,0,27366.32
inference,218.63,449.44,2022.12,3892,0,0,27584.95
inference,216.67,300.73,3456.37,4191,0,0,27801.62
inference,217.09,384.65,3412.32,4150,0,0,28018.71
inference,216.82,216.52,3464.57,4179,0,0,28235.53
inference,216.95,159.2,3507.28,4102,42,0,28452.48
inference,217.04,1041.17,2997.34,3539,5,0,28669.52
inference,218.17,980.83,1190.98,1655,498,0,28887.69
inference,218.58,1143.56,1350.1,1839,0,0,29106.27
inference,216.69,1065.67,1270.2,1791,46,0,29322.96
inference,217.78,1071.26,1340.96,1961,78,0,29540.74
inference,218.47,1003.85,1317.78,1716,83,0,29759.21
inference,218.77,1437.26,1691.04,2208,0,0,29977.98
inference,217.79,1004.33,1276.68,1805,2381,0,30195.77
inference,217.67,1234.19,1472.09,1971,0,0,30413.44
inference,217.61,1028.6,1261.67,1811,570,0,30631.05
inference,217.7,1218.88,1422.42,1902,0,0,30848.75
inference,217.33,1512.03,1719.58,2452,1006,0,31066.079999999998
inference,218.62,1542.11,3413.58,4789,3571,0,31284.7
inference,217.03,553.85,3348.33,4230,3024,0,31501.73
inference,217.09,220.22,3495.69,4141,5,0,31718.82
inference,216.6,340.06,3429.2,4178,0,0,31935.42
inference,217.36,152.13,3814.03,4458,0,0,32152.78
inference,217.42,262.44,6552.74,8049,0,0,32370.2
inference,224.83,2294.25,2964.78,3718,51,0,32595.03
inference,217.68,1988.98,2227.46,3041,614,0,32812.71
inference,218.64,2888.37,3168.84,4071,5517,0,33031.35
inference,218.15,2648.76,2972.34,3883,6833,0,33249.5
inference,218.75,2808.59,3395.57,3922,6262,0,33468.25
inference,217.65,2771.05,3154.07,4259,7438,0,33685.9
inference,219.17,2744.89,3040.65,4312,7627,0,33905.07
inference,218.49,2873.92,3110.91,3941,6515,0,34123.56
inference,217.94,2796.99,3022.06,3877,6536,0,34341.5
inference,217.52,2916.13,3144.68,4004,7516,0,34559.02
inference,218.54,2706.4,2942.76,3990,7512,0,34777.56
inference,218.0,2745.2,2965.49,3784,7129,0,34995.56
inference,217.27,2892.9,3103.07,3774,6050,0,35212.83
inference,217.72,2774.42,3000.06,4065,7792,0,35430.55
inference,217.6,2730.01,2949.98,3787,6251,0,35648.15
inference,217.42,2861.26,3267.06,4231,6085,0,35865.57
inference,218.42,2802.71,3016.54,3731,7879,0,36083.99
inference,218.43,2676.92,2913.72,3617,5988,0,36302.42
inference,217.6,2855.43,3082.85,3957,6666,0,36520.02
inference,218.8,2755.36,2971.83,3670,7574,0,36738.82
inference,218.55,2770.72,2981.37,3587,6083,0,36957.37
inference,217.65,2762.58,3078.37,4089,7001,0,37175.02
inference,218.53,2770.56,3094.56,3867,7112,0,37393.55
inference,218.28,2833.3,3197.74,4091,6063,0,37611.83
inference,217.3,2852.52,3080.68,3985,7674,0,37829.13
inference,218.3,2772.73,3008.52,3688,6958,0,38047.43
inference,218.59,2807.32,3014.34,3614,6294,0,38266.02
inference,217.57,2812.15,3033.57,3737,7709,0,38483.59
inference,217.94,2692.25,2913.68,3473,5819,0,38701.53
inference,217.29,2845.92,3058.16,3797,6841,0,38918.82
inference,218.29,2696.85,2909.22,3491,6107,0,39137.11
inference,217.74,2713.84,2929.23,3642,6629,0,39354.85
inference,218.35,2755.19,2963.37,3458,5791,0,39573.2
inference,217.78,2806.42,3031.15,3673,6980,0,39790.98
inference,219.14,2782.61,2994.87,3546,5441,0,40010.12
inference,217.91,2683.83,2908.57,3630,7352,0,40228.03
inference,218.26,2928.33,3569.37,4091,5378,0,40446.29
inference,217.79,2563.4,2778.03,3660,7445,0,40664.08
inference,217.66,2949.0,3167.14,3799,4775,0,40881.74
inference,218.47,2585.66,2791.64,3378,7530,0,41100.21
inference,217.5,2821.76,3067.93,3858,5058,0,41317.71
