event,timestamp,python3.11,ALL_TASKS,cpu,gpu
tokenizer,217.84,0.78,280.16,257,41
tokenizer,236.84,0.47,141.76,198,46
tokenizer,234.19,0.36,158.55,218,13
tokenizer,234.05,0.29,139.42,235,38
tokenizer,233.51,253.16,594.10,886,13
model load,217.39,0.55,272.77,248,14
model load,235.3,0.47,626.22,1152,14
model load,220.94,0.67,860.11,1009,106
model load,229.9,0.38,218.90,335,181
model load,235.94,13.15,214.42,305,13
model load,232.8,122.77,411.73,752,13
model load,226.66,266.52,1979.57,3362,13
model load,218.14,312.02,638.13,3773,71
model load,219.86,599.34,902.49,3266,37
model load,218.07,321.73,631.43,3627,68
model load,218.77,328.08,684.24,3702,78
model load,218.28,332.52,645.09,3642,101
model load,219.53,836.57,1171.24,3339,73
model load,217.88,337.72,2096.93,5113,91
model load,218.15,1159.20,4074.31,6133,92
model load,218.67,1319.61,2191.77,3247,160
model load,218.19,331.96,1208.93,4707,252
model load,219.09,291.76,1192.18,4281,266
model load,219.63,330.84,1067.49,4808,306
model load,218.18,328.94,1033.06,4487,332
model load,218.61,337.91,2504.46,6674,316
model load,218.48,318.47,1350.27,5667,224
model load,221.17,604.65,4010.02,7564,169
model load,218.96,339.76,1603.62,5494,366
model load,218.72,340.86,1801.78,5688,247
model load,218.69,336.94,1647.83,5693,210
model load,218.02,378.62,1709.13,5422,142
model load,218.09,616.04,1734.98,4755,142
model load,218.45,344.72,3017.22,6674,55
model load,218.49,615.30,1764.67,4842,160
model load,218.94,606.43,1506.81,4330,124
model load,218.51,56.96,711.33,892,78
pipeline load,217.89,0.71,1036.36,1326,87
pipeline load,239.28,0.54,427.87,631,87
pipeline load,233.3,0.43,3146.11,4201,79
inference,218.36,2749.59,3520.44,4447,921
inference,219.04,2865.09,3637.32,4287,921
inference,217.68,2847.23,5626.65,6785,1246
inference,218.85,2579.94,5398.68,6498,983
inference,218.79,2544.70,5259.08,6609,1129
inference,218.96,2762.94,5157.78,6225,996
inference,218.0,2547.70,5737.70,7197,1119
inference,219.14,2598.78,5218.45,6489,830
inference,218.68,2641.43,6277.89,7696,990
inference,218.72,2543.05,5072.40,6323,1061
inference,218.95,2486.53,6492.60,8303,892
inference,219.54,2685.98,5776.09,6873,909
inference,218.71,2542.44,5420.93,6785,1116
inference,218.32,2541.11,5566.58,7077,1029
inference,218.79,2697.16,5446.08,6696,866
inference,218.18,2441.80,6694.45,8332,1124
inference,219.16,2618.42,4771.45,5845,1150
inference,218.17,2954.05,3278.13,4047,798
inference,218.1,2738.78,3329.67,4026,1146
inference,217.95,2944.61,3159.04,3804,798
inference,218.9,2794.07,3165.87,3910,798
inference,218.24,2925.41,3181.31,3689,1087
inference,218.7,2943.93,3199.59,3846,765
inference,218.32,2943.10,3192.05,3724,974
inference,218.27,2887.12,3241.47,3977,966
inference,218.16,3071.18,3393.70,4015,660
inference,218.2,2789.60,3152.52,3868,1293
inference,218.19,2885.83,3275.89,4056,880
inference,218.04,2908.06,3218.75,3990,742
inference,217.85,2990.62,3291.21,3833,1041
inference,218.38,2931.94,3171.06,3906,1001
inference,218.06,3024.74,3272.47,3958,664
inference,218.32,2889.74,3176.87,3884,1041
inference,218.44,2957.30,3229.56,4001,962
inference,217.95,3059.56,3312.60,3987,824
inference,218.28,2902.77,3154.81,3885,1120
inference,218.16,2991.09,3296.57,4011,706
inference,218.09,2907.95,3147.71,3856,972
inference,218.13,3013.44,3300.94,4011,1059
inference,218.04,2907.07,3234.10,4096,706
inference,218.13,2999.28,3245.01,3874,1105
inference,218.37,2992.19,3243.64,4012,871
inference,217.98,2990.53,3246.41,3927,916
inference,218.11,2866.68,3767.40,4672,1101
inference,218.77,2906.49,3195.61,3917,798
inference,218.48,2806.09,3104.18,3932,677
inference,218.05,2882.11,3126.18,3862,856
inference,218.01,2888.77,3366.80,4110,839
inference,217.83,2894.21,3144.30,3815,780
inference,218.03,2746.90,2986.29,3821,849
inference,218.12,2853.48,3157.64,3920,716
inference,218.55,2862.85,3189.90,3999,706
inference,218.3,2864.66,3157.65,3912,668
inference,218.75,2884.71,3139.01,3904,705
inference,218.63,2760.81,3169.29,4057,672
inference,217.83,2840.05,3179.81,4031,800
inference,217.84,2806.82,3145.12,4003,858
inference,218.26,2823.06,3110.10,3904,813
inference,217.97,2909.05,3153.64,3913,806
inference,218.01,2878.83,3153.56,3835,826
inference,218.16,2846.03,3091.39,3919,821
inference,218.44,2815.50,3306.51,4175,683
inference,218.87,2844.01,3106.05,3952,678
inference,218.76,2898.10,3203.72,4009,676
inference,218.88,2883.68,3248.04,4080,695
inference,218.53,2830.69,3140.61,4036,722
inference,218.35,2861.09,3174.92,4072,686
inference,218.01,2876.00,3208.47,4078,765
inference,218.23,2964.48,3245.10,3987,752
inference,218.12,2856.66,3102.69,3970,816
inference,218.25,2844.23,3120.30,3890,784
inference,218.07,2798.14,3400.30,4517,738
inference,218.43,2854.18,4356.72,5073,784
inference,217.79,2851.39,3218.42,3999,710
inference,219.02,2810.93,3104.26,4045,808
inference,219.03,2912.45,3187.98,4036,726
inference,218.88,2880.35,3126.70,4016,685
inference,219.03,2829.48,3116.13,4031,681
inference,218.74,2896.17,3165.55,4023,712
inference,217.98,2895.44,3144.19,4037,690
inference,218.16,2917.24,3175.07,4025,688
inference,218.13,2832.26,3185.09,4117,697
inference,218.08,2948.05,3289.79,4141,816
inference,217.88,2956.34,3282.62,4108,922
inference,217.55,2765.68,3074.83,4068,831
inference,218.19,3068.19,3305.46,3955,1181
inference,217.65,2803.18,3053.37,4029,894
inference,219.0,2897.95,3183.30,4046,694
inference,218.82,2862.13,3100.50,4031,721
inference,218.93,2948.63,3195.59,4056,690
inference,219.12,2912.94,3156.24,4066,699
inference,219.23,2796.42,3106.35,4078,698
inference,217.93,2902.27,3147.44,4033,757
inference,218.0,3042.44,3326.12,4083,872
inference,218.22,2983.65,3229.41,3973,1110
inference,218.51,2772.28,3011.73,4027,999
inference,219.25,2850.13,3288.53,4306,705
inference,219.15,2883.70,3130.46,4043,730
inference,219.25,2702.26,2995.63,3813,694
inference,219.15,2857.58,3414.65,4376,698
inference,218.82,2823.33,3325.86,4309,721
inference,219.5,2850.00,3104.72,4023,745
inference,218.29,2873.37,3121.28,4018,861
inference,217.92,2854.58,3138.86,4038,880
inference,218.06,2960.52,3202.80,3893,904
inference,218.96,2716.80,2962.99,4033,880
inference,218.48,2880.50,3128.83,4000,712
inference,219.33,2788.74,3094.25,4131,705
inference,219.41,2951.60,3213.03,4175,1012
inference,218.22,2604.98,3121.67,4326,588
inference,218.6,2675.76,3024.00,4081,587
inference,218.39,2719.46,3027.12,4107,467
inference,219.6,2896.52,3168.47,4103,691
inference,219.37,2765.24,3015.29,4043,1015
inference,219.78,2915.10,3201.77,4118,702
inference,219.82,2801.39,3070.93,4062,960
inference,219.85,2806.88,3214.84,4062,705
inference,217.64,2765.89,3242.74,4236,705
inference,217.96,2722.49,3024.51,4092,570
inference,218.13,2778.83,3082.66,4158,450
inference,219.17,2820.17,3085.34,4084,500
inference,218.42,2736.74,3047.92,4185,707
inference,218.88,2850.34,3110.55,4116,934
inference,219.85,2870.41,3169.80,4121,717
inference,220.13,2833.22,3094.99,4125,710
inference,218.94,2778.96,3069.70,4248,736
inference,218.4,2766.08,3024.51,4121,644
inference,218.0,2819.10,3081.19,4101,545
inference,219.4,2757.51,3048.11,4148,495
inference,219.9,2929.83,3189.09,4143,953
inference,219.83,2743.64,3001.69,4071,732
inference,219.77,2767.19,3041.30,4091,714
inference,219.82,2944.18,3250.48,4122,714
inference,218.11,2709.11,2954.43,4209,732
inference,217.34,2663.81,2908.47,4136,390
inference,218.0,2894.81,3141.68,4105,456
inference,219.7,2769.00,3142.51,4274,656
inference,218.94,2872.09,3241.03,4284,1006
inference,220.02,2678.90,3070.09,4227,1000
