timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3;nvidia_gpu_4;nvidia_gpu_5;nvidia_gpu_6;nvidia_gpu_7
1705271194.1705692;tokenizer;0.48685383796691895;19984;25970;22155;25471;25992;25031;26930;26159
1705271194.657423;model load;37.74960780143738;2073124;2107483;2243481;2083553;2095261;2040457;2165409;2118917
1705271232.4070308;pipeline load;0.017629146575927734;0;0;0;0;0;0;0;0
1705271232.42466;inference;15.243488550186157;883475;893946;948145;880787;894223;875499;927179;901145
1705271261.736776;tokenizer;0.2516906261444092;14974;15561;11083;15299;15576;9955;10760;10412
1705271261.9884667;model load;35.10258889198303;1926931;1977327;2098824;1951327;1961087;1909624;2035942;1980820
1705271297.0910556;pipeline load;0.01900792121887207;0;0;6077;0;0;0;0;0
1705271297.1100636;inference;12.691370487213135;745655;744862;789114;738161;750297;735812;773464;761804
1705271319.6065779;tokenizer;0.25889062881469727;9969;10357;16602;15270;15579;14941;10768;15595
1705271319.8654685;model load;10.432843923568726;568498;580641;613790;560230;562753;546003;580835;560092
1705271330.2983124;pipeline load;0.01920795440673828;0;0;0;5653;0;0;0;0
1705271330.3175204;inference;12.96315050125122;761637;760427;808123;756103;759283;746191;790723;772111
1705271352.9698577;tokenizer;0.32850193977355957;19955;15591;16659;15271;15552;19896;21536;20810
1705271353.2983596;model load;12.116020441055298;658003;672416;716798;661716;664076;635299;675575;653139
1705271365.41438;pipeline load;0.018351316452026367;0;5714;0;0;0;0;0;0
1705271365.4327314;inference;12.630515813827515;744679;739111;790731;739284;737939;729697;771819;756020
1705271386.6255333;tokenizer;0.2886319160461426;14925;15517;16596;15285;10392;14923;16141;15609
1705271386.9141653;model load;36.24455213546753;1989325;2045894;2165575;2012582;2029013;1975905;2097867;2044475
1705271423.1587174;pipeline load;0.02332162857055664;0;0;0;0;0;0;0;5835
1705271423.182039;inference;13.39425778388977;789320;784765;839551;778879;783448;768722;813343;796789
1705271447.035168;tokenizer;0.30375242233276367;14968;15533;16596;15258;15553;14955;16136;15622
1705271447.3389204;model load;11.7107253074646;636330;655581;687546;634817;642127;619604;652013;630666
1705271459.0496457;pipeline load;0.020143985748291016;0;0;0;0;0;0;5916;5821
1705271459.0697896;inference;12.721734285354614;749739;744325;797307;745183;749122;729272;772136;755605
1705271481.7342505;tokenizer;0.27628064155578613;9963;15588;11069;10178;10369;14929;16149;15645
1705271482.0105312;model load;36.48204040527344;2003930;2056662;2182895;2028059;2038424;1986155;2109274;2061083
1705271518.4925716;pipeline load;0.017724990844726562;0;0;0;5658;0;0;0;0
1705271518.5102966;inference;12.284698724746704;722674;721113;773400;717266;721798;707633;748425;731623
1705271541.6530855;tokenizer;0.3437917232513428;19911;20770;16577;15276;15551;19927;16197;15633
1705271541.9968772;model load;10.281422853469849;557340;569495;601474;554110;556135;534909;568933;553528
1705271552.2783;pipeline load;0.02018427848815918;0;0;0;5657;0;0;5922;0
1705271552.2984843;inference;12.297651529312134;722828;727850;772947;716477;726855;713591;748122;738478
1705271573.8262625;tokenizer;0.264601469039917;14945;15585;11056;10182;10364;14945;10762;15605
1705271574.090864;model load;12.217824935913086;663731;684612;723228;667364;669684;646098;686968;659297
1705271586.3086889;pipeline load;0.018317699432373047;0;0;0;0;0;0;0;0
1705271586.3270066;inference;12.673921585083008;744736;744950;790239;739195;743672;730139;772435;754933
1705271606.492059;tokenizer;0.35420870780944824;14987;20789;16572;15284;20726;19887;21597;20831
1705271606.8462677;model load;36.08621263504028;1984654;2036641;2161271;2008843;2018738;1966929;2089652;2035460
1705271642.9324803;pipeline load;0.017452478408813477;0;0;0;5658;0;0;0;5799
1705271642.9499328;inference;12.753501176834106;750135;750847;796320;738525;749522;734774;778686;755427
1705271664.6520147;tokenizer;0.28183698654174805;14969;15539;16589;15275;15571;14960;16141;10411
1705271664.9338517;model load;10.458989381790161;568730;580647;613683;565741;567753;546161;581359;565388
1705271675.392841;pipeline load;0.021080970764160156;0;0;0;0;0;0;0;0
1705271675.413922;inference;12.539406538009644;739734;738282;784507;734006;737711;723384;765575;743796
1705271696.8914201;tokenizer;0.35260653495788574;19927;15588;16543;20357;15523;14912;16141;20829
1705271697.2440267;model load;33.383201360702515;1832462;1880361;1995282;1855886;1863157;1814213;1927922;1882142
1705271730.627228;pipeline load;0.017470121383666992;0;5700;6060;0;0;5572;0;0
1705271730.6446981;inference;12.620150566101074;739689;739219;783757;733253;743477;724769;772765;755608
1705271752.2926605;tokenizer;0.2850179672241211;14969;15586;16571;15257;15553;14934;16182;10404
1705271752.5776784;model load;10.125815868377686;551923;564362;590284;549431;545251;529762;557898;542725
1705271762.7034943;pipeline load;0.01842188835144043;0;0;6065;0;5699;0;0;0
1705271762.7219162;inference;12.268678903579712;722329;722598;766708;716821;721140;707208;754986;732672
1705271783.8013973;tokenizer;0.34534621238708496;14951;20836;22139;15257;20737;14922;21551;20839
1705271784.1467435;model load;11.931995153427124;652845;667862;700164;652323;648382;630750;665102;642600
1705271796.0787387;pipeline load;0.01972198486328125;0;0;6067;0;5686;0;5915;5794
1705271796.0984607;inference;12.636155605316162;746081;738596;784769;739247;737304;729151;766555;749645
1705271816.0584083;tokenizer;0.27366209030151367;14979;15571;16608;10168;15536;9952;16175;15638
1705271816.3320704;model load;34.72613501548767;1907154;1957000;2077570;1937062;1939792;1895286;2009024;1960174
1705271851.0582054;pipeline load;0.017580270767211914;0;5728;6065;0;5686;0;0;0
1705271851.0757856;inference;12.806822538375854;755179;750069;797766;745265;749805;735288;784649;767657
1705271872.6425588;tokenizer;0.3107483386993408;14975;15553;16612;15275;15545;19887;16225;15609
1705271872.9533072;model load;12.03198528289795;657609;671886;710894;656054;658317;629577;671153;652843
1705271884.9852924;pipeline load;0.02856755256652832;0;0;0;0;0;5581;5919;0
1705271885.01386;inference;12.875453233718872;756529;755543;802813;757446;756190;739296;784640;767055
1705271906.473612;tokenizer;0.23713064193725586;14960;10399;11028;10159;10359;9955;10780;15617
1705271906.7107427;model load;33.67097330093384;1846392;1900034;2016199;1874868;1882961;1834185;1949690;1902187
1705271940.381716;pipeline load;0.01747894287109375;0;0;0;0;0;5565;5924;0
1705271940.399195;inference;12.374900817871094;728092;727079;773017;722789;727391;713145;754940;738522
1705271961.3039713;tokenizer;0.3352203369140625;19971;20763;16629;20335;15539;14916;16165;15614
1705271961.6391916;model load;10.108449697494507;547191;558679;595818;544048;550889;530302;558183;543526
1705271971.7476413;pipeline load;0.017440319061279297;0;0;0;0;0;0;5919;0
1705271971.7650816;inference;12.312543153762817;729863;728103;767185;722715;727064;707047;749109;732381
1705271993.1028397;tokenizer;0.280536413192749;10006;10402;16574;10185;15607;14942;16126;15622
1705271993.3833761;model load;36.86082053184509;2028142;2081408;2210445;2055967;2065090;2006199;2133006;2086966
1705272030.2441967;pipeline load;0.017651081085205078;0;0;0;0;0;5564;0;0
1705272030.2618477;inference;12.74308729171753;752095;751279;796383;745474;743825;728289;779043;761549
1705272052.518341;tokenizer;0.25371623039245605;14966;10362;16527;10210;15535;14929;10766;15601
1705272052.7720573;model load;10.185134887695312;553029;564675;596723;550143;551645;530719;570032;543796
1705272062.9571922;pipeline load;0.017467737197875977;0;5710;0;5872;0;0;0;0
1705272062.97466;inference;12.317664384841919;728835;722169;773235;716890;726366;712707;748392;738319
1705272084.6672363;tokenizer;0.2679300308227539;9971;15530;16552;15272;15556;14904;10771;15608
1705272084.9351664;model load;11.407795667648315;624447;638508;669048;623371;619568;597328;641129;613197
1705272096.342962;pipeline load;0.01861286163330078;0;0;0;0;0;0;0;0
