event,timestamp,python3.11,ALL_TASKS,cpu,gpu
tokenizer,216.22,0.85,239.06,333,65
tokenizer,221.3,0.76,248.99,167,65
tokenizer,234.61,0.31,52.83,107,0
tokenizer,231.78,0.32,104.84,108,0
tokenizer,232.81,80.79,194.47,374,0
tokenizer,230.28,51.16,167.06,265,0
model load,217.19,0.58,204.17,198,0
model load,222.83,0.47,135.30,121,0
model load,235.95,0.35,95.23,110,0
model load,233.72,0.33,137.54,175,0
model load,236.69,7.47,136.12,224,51
model load,236.3,120.41,304.23,652,17
model load,221.35,314.44,15065.90,17543,13
model load,218.4,8206.42,8666.02,11310,0
model load,219.0,3300.93,3849.70,7265,18
model load,219.0,3611.86,4105.79,8018,100
model load,217.7,3954.02,4593.06,9398,59
model load,219.59,3955.38,4658.49,9459,101
model load,219.03,3543.63,4104.81,7976,46
model load,219.73,4079.03,4628.55,9129,55
model load,217.82,3480.88,3960.89,8007,77
model load,218.61,3440.95,4061.57,8046,64
model load,218.68,2434.79,3392.54,6837,82
model load,220.22,3063.39,3955.25,7888,23
model load,218.34,3161.52,3883.08,9297,27
model load,217.81,2995.37,3743.96,8957,23
model load,218.64,3165.46,3918.88,9157,69
model load,218.54,2546.54,3312.84,7541,14
model load,219.26,3133.08,3876.70,9286,32
model load,217.7,2961.22,3672.12,8539,9
model load,217.8,3162.56,3969.35,8884,41
model load,218.41,2322.46,3074.57,6772,78
model load,218.8,3097.69,3893.42,9292,9
model load,218.22,3037.04,4878.48,9944,87
model load,217.85,2933.89,4044.26,9047,247
model load,217.97,3160.75,4247.35,10249,252
model load,218.97,2540.89,3577.46,7905,271
model load,218.07,3053.75,4146.47,9657,292
model load,218.67,2713.88,5721.95,10573,266
model load,219.75,1691.75,4224.86,9884,284
model load,230.46,2889.75,4208.56,9268,46
model load,218.22,793.43,3478.22,6544,13
model load,489.81,2.79,1487.10,3830,50
model load,489.04,15.35,1794.07,1930,43
model load,240.05,95.22,3693.38,6836,35
model load,280.72,344.51,2438.23,3983,433
model load,221.63,2433.56,4388.63,10120,132
model load,219.0,2644.80,4203.52,9246,117
model load,217.87,2784.69,4285.07,10249,123
model load,220.53,2045.86,5688.86,10343,179
model load,220.02,690.34,3537.39,6168,862
model load,218.3,2745.83,7131.59,11012,827
model load,219.16,1565.06,3194.27,5895,206
model load,219.54,2942.84,4101.84,9087,146
model load,217.42,2694.95,3352.17,6904,123
model load,218.44,2418.50,5666.82,10639,133
model load,218.17,3087.17,3879.32,9067,101
model load,218.82,3154.99,3940.63,8838,28
model load,218.09,294.02,1718.26,2944,37
model load,224.5,1802.79,3050.81,5880,0
model load,217.22,2479.34,3024.27,7264,76
model load,218.17,3187.99,3937.57,9460,9
model load,219.16,3034.54,4426.88,8669,14
model load,219.49,2808.70,4158.80,7914,46
model load,219.39,1012.03,2473.63,4722,73
model load,219.24,3105.78,4144.59,9574,5
model load,223.06,158.61,3020.07,5729,9
model load,403.43,3298.96,2457.66,5471,31
model load,218.87,3067.54,4079.39,9133,50
model load,217.54,2832.85,4306.94,8817,37
model load,219.11,1711.46,3091.52,6586,87
model load,219.59,816.58,4259.01,7400,9
model load,219.4,2290.43,3477.75,6595,9
model load,218.75,2669.72,4111.38,8672,55
model load,218.48,3169.03,3876.68,9447,14
model load,217.94,3222.05,4513.33,9361,32
model load,219.51,827.15,4547.74,8332,23
model load,216.57,2402.19,3128.16,5813,46
model load,219.98,1365.86,3729.52,8092,37
model load,218.25,1258.84,2412.44,3592,50
model load,217.78,377.07,946.38,895,46
pipeline load,217.23,0.58,238.40,189,51
pipeline load,239.85,0.42,124.65,154,51
pipeline load,231.28,0.37,140.04,147,0
pipeline load,239.34,0.30,78.84,113,13
inference,218.15,1038.16,1252.51,1678,0
inference,218.63,1060.13,1244.93,1674,0
inference,218.86,1113.76,1353.82,1878,0
inference,217.95,1060.06,1243.01,1670,279
inference,218.04,1139.75,27334.95,2266,0
inference,217.82,1038.73,1304.03,1740,252
inference,218.76,1151.55,1333.80,1787,37
inference,217.93,1244.51,1439.18,1913,658
inference,217.77,1033.93,1311.57,1777,1037
inference,218.76,1271.74,1491.31,2057,0
