event,timestamp,python3.11,ALL_TASKS,cpu,gpu
tokenizer,217.0,0.63,225.70,157,0
tokenizer,238.85,0.47,86.87,138,0
tokenizer,236.69,0.30,105.36,135,0
tokenizer,234.64,0.27,120.10,145,0
tokenizer,237.25,215.34,307.64,426,0
tokenizer,222.37,7.04,171.22,189,0
pipeline load,216.72,0.43,229.56,194,0
pipeline load,238.28,0.49,108.53,168,0
pipeline load,234.01,0.39,115.46,150,0
pipeline load,233.49,0.32,132.75,206,0
pipeline load,235.86,8.30,124.55,174,0
pipeline load,233.87,391.23,4058.22,5050,0
pipeline load,218.38,452.56,817.54,3357,38
pipeline load,219.8,311.96,585.26,3530,60
pipeline load,220.8,309.87,598.14,3528,23
pipeline load,220.36,311.13,635.01,3630,27
pipeline load,217.43,299.43,579.58,3500,18
pipeline load,219.95,471.54,932.02,3214,28
pipeline load,223.61,381.21,1054.56,3627,9
pipeline load,219.95,300.92,657.32,3483,31
pipeline load,219.74,297.72,755.32,3805,27
pipeline load,219.61,281.19,819.68,3588,14
pipeline load,218.36,328.57,840.99,3765,18
pipeline load,221.01,306.33,830.08,3679,18
pipeline load,218.06,456.61,1348.72,3517,18
pipeline load,218.77,380.95,932.72,3730,0
pipeline load,220.3,291.00,852.23,3936,27
pipeline load,218.2,132.03,1415.42,3831,5
pipeline load,230.43,273.27,947.95,3715,9
pipeline load,218.48,238.19,958.85,3959,26
pipeline load,222.22,293.45,949.64,3816,14
pipeline load,217.97,216.63,1307.47,3890,14
pipeline load,216.65,135.76,1886.40,3789,18
pipeline load,218.07,276.40,1024.20,4113,9
pipeline load,217.3,409.11,1930.02,3244,9
pipeline load,218.65,352.20,760.33,3595,0
pipeline load,218.84,311.23,925.88,3884,18
pipeline load,218.35,313.86,779.05,3728,23
pipeline load,220.84,315.99,1152.34,4071,9
pipeline load,217.85,301.99,795.07,3801,41
pipeline load,217.25,307.42,766.41,3692,9
pipeline load,218.82,293.31,1323.08,3510,28
pipeline load,219.19,325.54,1623.65,3394,5
pipeline load,218.45,320.96,647.42,3548,5
pipeline load,219.93,333.99,605.28,3533,5
pipeline load,220.71,330.36,599.81,3511,41
pipeline load,220.78,356.92,637.07,3488,14
pipeline load,220.7,334.16,604.68,3503,18
pipeline load,220.69,335.68,595.95,3503,18
pipeline load,220.54,345.45,603.65,3487,27
pipeline load,218.42,263.38,1987.08,3141,9
pipeline load,220.08,162.51,2231.78,4744,0
pipeline load,322.49,245.96,905.95,2918,9
pipeline load,217.62,307.55,811.04,3754,12
pipeline load,217.6,267.30,1060.78,3980,18
pipeline load,216.84,263.25,825.11,3574,23
pipeline load,217.73,245.97,736.45,3252,14
pipeline load,219.07,277.21,687.25,3574,9
pipeline load,219.95,293.29,950.72,4105,41
pipeline load,219.58,227.08,1625.32,3402,18
pipeline load,218.46,295.91,1493.48,3378,0
pipeline load,217.66,276.38,1158.57,3969,5
pipeline load,217.79,280.57,1035.72,3917,28
pipeline load,219.28,286.69,687.65,3521,51
pipeline load,219.53,336.75,610.13,3425,14
pipeline load,220.35,334.38,687.13,3544,32
pipeline load,220.44,197.79,1646.70,4750,18
pipeline load,256.03,152.88,1731.59,4605,50
pipeline load,327.9,473.90,1314.41,2162,8
pipeline load,217.74,272.91,847.64,3794,3
pipeline load,217.24,154.24,2051.83,4723,9
pipeline load,217.78,227.27,1077.99,4128,41
