timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3
1706227736.9086761;tokenizer;0.30870914459228516;15101;15478;16058;17045
1706227737.2173853;pipeline load;36.3576295375824;1989749;2009695;2070011;2177521
1706227773.5750148;inference-0;21.156263828277588;1488152;1528020;1575813;1635056
1706227794.7312787;inference-1;26.72542119026184;2038319;2087330;2144691;2225476
1706227821.4566998;inference-2;20.07822871208191;1528416;1569151;1606472;1673626
1706227841.5349286;inference-3;21.51117515563965;1635748;1679064;1725798;1789665
1706227863.0461037;inference-4;21.449490785598755;1630595;1675329;1730453;1786837
1706227884.4955945;inference-5;16.21061420440674;1231978;1259668;1295239;1353567
1706227900.7062087;inference-6;23.756245136260986;1807944;1861450;1906052;1980703
1706227924.4624538;inference-7;22.98755693435669;1758792;1802880;1854444;1922968
1706227947.4500108;inference-8;22.629445552825928;1722792;1768057;1818929;1885335
1706227970.0794563;inference-9;22.49933648109436;1714068;1750946;1808614;1875762
1706228015.3673446;tokenizer;0.3067448139190674;20309;15580;16209;17066
1706228015.6740894;pipeline load;33.476096868515015;1839050;1873945;1934957;2014227
1706228049.1501863;inference-0;21.010994911193848;1511272;1549509;1593017;1652283
1706228070.1611812;inference-1;27.449140787124634;2095107;2145939;2205703;2285679
1706228097.610322;inference-2;13.615455150604248;1021404;1061065;1082249;1132027
1706228111.2257771;inference-3;30.625816345214844;2348413;2391509;2465164;2541997
1706228141.8515935;inference-4;21.830461263656616;1658423;1701810;1748411;1808754
1706228163.6820548;inference-5;14.057276010513306;1060156;1091350;1120641;1160153
1706228177.7393308;inference-6;15.07664966583252;1139921;1173783;1204006;1245846
1706228192.8159804;inference-7;21.549440145492554;1631275;1681509;1719285;1787783
1706228214.3654206;inference-8;15.375445365905762;1163587;1196122;1229017;1271335
1706228229.740866;inference-9;25.03768515586853;1903611;1950594;2001852;2070007
1706228270.883859;tokenizer;0.2983248233795166;15121;15489;16043;16786
1706228271.1821837;pipeline load;26.621620416641235;1449951;1476266;1522196;1566596
1706228297.8038042;inference-0;19.940844297409058;1440453;1478979;1519178;1573282
1706228317.7446485;inference-1;26.419815063476562;2013047;2056775;2115828;2175500
1706228344.1644635;inference-2;14.55551028251648;1098744;1130166;1160484;1198069
1706228358.7199738;inference-3;28.228787899017334;2156614;2204767;2264142;2331874
1706228386.9487617;inference-4;22.657623291015625;1723123;1763489;1812912;1868826
1706228409.606385;inference-5;18.92301344871521;1435879;1465951;1508240;1555600
1706228428.5293984;inference-6;44.058438777923584;3415868;3475798;3570173;3675075
1706228472.5878372;inference-7;25.523151636123657;1948006;1994555;2048660;2115693
1706228498.1109889;inference-8;19.772528409957886;1505701;1538985;1581969;1637251
1706228517.8835173;inference-9;13.487951517105103;1014049;1052006;1071844;1121743
1706228547.5425565;tokenizer;0.31153416633605957;15158;15561;16167;16953
1706228547.8540907;pipeline load;30.04833149909973;1664367;1694040;1747777;1812868
1706228577.9024222;inference-0;24.450290203094482;1783989;1836771;1878213;1955789
1706228602.3527124;inference-1;25.847358226776123;1970239;2016217;2082932;2147826
1706228628.2000706;inference-2;33.6938796043396;2597593;2639058;2715654;2815581
1706228661.8939502;inference-3;23.193562030792236;1763639;1818362;1869038;1938498
1706228685.0875123;inference-4;18.124772787094116;1378014;1407524;1446459;1500863
1706228703.212285;inference-5;13.534481287002563;1017103;1055517;1084055;1124553
1706228716.7467663;inference-6;29.70918297767639;2274455;2316256;2379026;2456792
1706228746.4559493;inference-7;22.163572788238525;1679411;1728794;1776513;1835896
1706228768.619522;inference-8;22.427446842193604;1713948;1749004;1796459;1858657
1706228791.046969;inference-9;33.39725732803345;2562249;2613925;2685049;2770909
1706228843.9761016;tokenizer;0.42183852195739746;20174;25821;21445;22411
1706228844.3979402;pipeline load;29.273590087890625;1595080;1624562;1674482;1732999
1706228873.6715302;inference-0;21.46847438812256;1566182;1597322;1648989;1699795
1706228895.1400046;inference-1;27.28638982772827;2074442;2128801;2179220;2243547
1706228922.4263945;inference-2;26.07338809967041;1990795;2028972;2090720;2153833
1706228948.4997826;inference-3;17.946236610412598;1357932;1402228;1433026;1477550
1706228966.4460192;inference-4;40.075358867645264;3097221;3142467;3234610;3328855
1706229006.521378;inference-5;33.04215383529663;2538784;2588069;2659836;2737040
1706229039.5635319;inference-6;27.075716495513916;2063220;2110341;2169870;2237890
1706229066.6392484;inference-7;14.567823648452759;1102410;1134524;1164925;1205298
1706229081.207072;inference-8;18.977667808532715;1439419;1477650;1518587;1573086
1706229100.1847398;inference-9;23.934144496917725;1822479;1867460;1919270;1985946
1706229140.485106;tokenizer;0.2947967052459717;15150;15523;10772;16948
1706229140.7799027;pipeline load;32.64918351173401;1787529;1826509;1885429;1952262
1706229173.4290862;inference-0;17.02698302268982;1196972;1224177;1267510;1311095
1706229190.4560692;inference-1;19.192469596862793;1453790;1493429;1526993;1590871
1706229209.6485388;inference-2;15.485240697860718;1172879;1207388;1248205;1286401
1706229225.1337795;inference-3;19.035907983779907;1441686;1488708;1522792;1579757
1706229244.1696875;inference-4;19.266269207000732;1463234;1497967;1547903;1606058
1706229263.4359567;inference-5;26.00847053527832;1994143;2043417;2089998;2179289
1706229289.4444273;inference-6;11.55027174949646;870022;897861;922001;959008
1706229300.994699;inference-7;27.43304967880249;2105375;2156332;2216097;2300758
1706229328.4277487;inference-8;16.812415838241577;1272398;1308488;1354282;1397197
1706229345.2401645;inference-9;18.116770029067993;1373802;1419634;1451544;1507906
1706229380.126558;tokenizer;0.3112449645996094;15229;15581;21666;17069
1706229380.437803;pipeline load;32.627959966659546;1797037;1831122;1885394;1966338
1706229413.065763;inference-0;28.533616542816162;2117505;2167061;2228225;2312469
1706229441.5993795;inference-1;19.70818781852722;1497696;1541626;1582199;1644113
1706229461.3075674;inference-2;44.15036344528198;3423045;3486586;3583896;3709532
1706229505.4579308;inference-3;23.553788661956787;1793799;1841612;1900753;1964684
1706229529.0117195;inference-4;15.680678606033325;1185014;1221559;1254541;1305386
1706229544.692398;inference-5;15.811580181121826;1198002;1240372;1267433;1324571
1706229560.5039783;inference-6;13.681025743484497;1043903;1067716;1097595;1140265
1706229574.185004;inference-7;20.168335437774658;1527302;1571536;1624450;1684482
1706229594.3533394;inference-8;18.394169807434082;1400173;1440365;1481661;1538475
1706229612.7475092;inference-9;20.82913637161255;1584324;1634972;1674219;1736050
1706229642.5546641;tokenizer;0.22340655326843262;10156;10442;10848;11428
1706229642.7780707;pipeline load;32.27487397193909;1777135;1813892;1872802;1950233
1706229675.0529447;inference-0;15.49111795425415;1106716;1139184;1171648;1213420
1706229690.5440626;inference-1;20.173757314682007;1536117;1578565;1625199;1685538
1706229710.71782;inference-2;31.411528825759888;2406700;2469869;2543369;2633242
1706229742.1293488;inference-3;13.695801258087158;1042084;1065638;1096530;1139011
