1715075066.7575061,tokenizer,0.2029428482055664,10531,32,0,0,Llama-2-13b-chat-hf,1,startup,0,32,argonne-swing,39,40960.0,26121.6875
1715075066.960449,model load,70.14881753921509,4043930,32,0,0,Llama-2-13b-chat-hf,1,startup,0,32,argonne-swing,39,40960.0,26121.6875
1715075137.1363757,start-inference-A-8,2.308210849761963,152718,8,9,8,Llama-2-13b-chat-hf,1,What is the largest city in France?,17,32,argonne-swing,46,40960.0,26409.6875
1715075139.4516664,start-inference-A-16,0.5923044681549072,112597,16,9,16,Llama-2-13b-chat-hf,1,What is the largest city in France?,25,32,argonne-swing,46,40960.0,26411.6875
1715075140.050909,start-inference-A-32,1.1770954132080078,238871,32,9,32,Llama-2-13b-chat-hf,1,What is the largest city in France?,41,32,argonne-swing,46,40960.0,26415.6875
1715075141.2348862,start-inference-A-64,2.3397395610809326,489757,64,9,64,Llama-2-13b-chat-hf,1,What is the largest city in France?,73,32,argonne-swing,46,40960.0,26451.6875
1715075143.5830746,start-inference-A-128,5.020844221115112,1191793,128,9,128,Llama-2-13b-chat-hf,1,What is the largest city in France?,137,32,argonne-swing,46,40960.0,26455.6875
1715075148.6126423,start-inference-A-256,10.725422859191895,3199869,256,9,256,Llama-2-13b-chat-hf,1,What is the largest city in France?,265,32,argonne-swing,46,40960.0,26455.6875
1715075159.349628,start-inference-A-512,28.99721670150757,10021764,512,9,512,Llama-2-13b-chat-hf,1,What is the largest city in France?,521,32,argonne-swing,46,40960.0,26583.6875
1715075188.3608758,start-inference-A-1024,94.96858525276184,36332909,1024,9,1024,Llama-2-13b-chat-hf,1,What is the largest city in France?,1033,32,argonne-swing,46,40960.0,26683.6875
1715075283.3409092,start-inference-A-2048,348.1581540107727,136718741,2048,9,2048,Llama-2-13b-chat-hf,1,What is the largest city in France?,2057,32,argonne-swing,175,40960.0,36265.6875
1715075631.5308702,start-inference-B-8,0.30225086212158203,60633,8,21,8,Llama-2-13b-chat-hf,1,Can you explain the difference between a simile an,29,32,argonne-swing,175,40960.0,26467.6875
1715075631.8513079,start-inference-B-16,0.595879316329956,123717,16,21,16,Llama-2-13b-chat-hf,1,Can you explain the difference between a simile an,37,32,argonne-swing,175,40960.0,26413.6875
