load model,217.59,322.62,693.22,3571,55
load model,219.99,329.56,612.91,3355,55
load model,219.88,331.24,749.12,3648,14
load model,220.88,608.79,905.77,3260,91
load model,220.02,326.82,817.35,3641,18
load model,221.07,323.41,575.19,3365,45
load model,220.87,329.22,587.15,3473,27
load model,219.23,326.24,781.23,3444,68
load model,221.41,327.72,595.63,3347,91
load model,221.49,601.47,844.53,3097,5
load model,220.21,326.86,580.75,3388,50
load model,221.51,337.74,729.25,3530,18
load model,221.31,327.57,575.92,3308,68
load model,220.87,328.29,585.12,3314,27
load model,221.21,329.71,579.62,3354,23
load model,221.34,625.85,857.40,2932,36
load model,217.73,332.45,725.11,3422,23
load model,219.81,327.73,581.69,3353,55
load model,221.34,323.44,652.60,3384,41
load model,217.46,327.53,589.33,3421,32
load model,221.14,351.05,765.36,3541,28
load model,218.06,359.35,603.56,3077,59
load model,220.67,561.87,793.68,3113,37
load model,220.58,328.39,576.59,3273,27
load model,220.63,324.83,579.49,3336,36
load model,220.83,327.54,726.03,3505,32
load model,220.58,324.38,568.48,3273,50
load model,220.72,355.97,607.53,3312,63
load model,218.12,615.88,996.27,3136,14
load model,217.49,321.77,746.36,3605,28
load model,218.77,315.50,577.81,3360,69
load model,220.96,318.47,573.13,3295,32
load model,220.44,318.24,600.70,3316,50
load model,218.49,325.97,584.83,3163,5
load model,220.13,321.02,730.67,3580,37
load model,220.87,571.87,1252.61,3301,64
load model,220.97,293.02,863.39,3625,23
load model,218.82,275.08,1072.43,3743,18
load model,217.67,188.37,1545.54,4103,18
load model,218.16,87.45,1865.68,3937,51
load model,225.07,131.81,1521.92,3523,0
load model,217.99,322.75,1041.76,4165,22
load model,217.24,179.57,1452.33,3931,32
load model,254.05,288.15,1374.24,4078,14
load model,217.84,325.79,1629.08,3934,35
load model,219.68,341.70,1769.43,3469,14
load model,217.07,315.03,951.76,4082,9
load model,218.61,311.03,1117.88,4167,37
load model,218.33,312.26,1073.09,4058,64
load model,216.25,61.71,1447.63,3316,41
load model,223.05,307.39,938.03,3694,5
load model,217.6,354.32,604.10,3300,9
load model,220.37,178.56,1077.91,3058,32
load model,221.29,260.97,1129.15,3904,54
load model,217.93,320.11,1766.68,3552,0
load model,219.49,351.62,266198.31,3658,0
load model,218.64,309.91,1521.45,4912,32
load model,218.21,305.89,983.11,4175,91
load model,220.9,342.14,920.94,3884,14
load model,220.98,348.75,595.28,3349,27
load model,220.72,349.94,2475.22,3389,27
load model,221.05,324.77,1709.55,5171,23
load model,218.53,171.84,2069.90,4242,109
load model,221.48,404.54,5361.90,9757,0
load model,217.89,28.49,3192.93,5562,5
load model,217.08,188.51,528.68,2382,0
load model,219.6,311.55,747.79,3320,46
load model,219.25,438.48,2642.55,5929,55
load model,218.52,445.57,2688.30,4979,23
load model,216.77,169.23,2049.37,3709,18
load model,216.84,218.35,1308.71,4035,0
load model,218.8,342.97,1982.34,5324,51
load model,218.38,348.97,2033.08,5422,50
load model,218.38,641.12,2237.44,4859,32
load model,217.6,324.31,604.33,3456,18
load model,219.16,329.04,753.93,3609,14
load model,219.85,328.53,1237.55,4321,82
load model,217.31,328.43,1287.88,4335,27
load model,218.61,350.89,1639.82,4629,37
load model,218.11,422.62,1185.42,4076,27
load model,217.78,516.07,1470.84,4252,64
load model,217.65,316.16,659.35,3437,32
load model,218.71,328.62,1101.28,4179,23
load model,217.6,324.61,1157.71,4196,55
load model,217.47,328.88,1255.18,4345,23
load model,217.59,325.34,1103.57,4136,60
load model,218.18,618.27,906.07,3117,28
load model,219.66,320.82,611.42,3301,28
load model,220.19,302.72,776.72,3343,36
load model,218.26,321.10,561.69,3212,59
load model,219.97,535.81,884.56,2500,41
inference-A-0,217.6,0.27,295.50,267,69
inference-A-0,239.14,0.78,119.63,142,69
inference-A-0,235.33,0.34,80.01,123,0
inference-A-0,236.72,0.35,98.68,123,0
inference-A-0,233.71,1242.52,6141.50,8819,0
inference-A-0,219.11,2508.20,6052.88,8156,201
inference-A-0,217.79,1263.53,2132.45,2571,164
inference-A-0,218.05,1030.40,1447.93,2045,546
inference-A-0,218.29,1123.83,3494.62,4687,197
inference-A-0,218.02,991.43,2324.03,3137,234
inference-A-0,217.49,1170.41,4178.81,6097,115
inference-A-0,218.85,1141.32,5489.15,6799,984
inference-A-0,217.87,1430.07,5992.37,7293,786
inference-A-0,218.22,1048.07,1690.54,2035,4273
inference-A-0,218.48,1187.07,1371.62,1817,211
inference-A-0,217.56,962.89,1145.18,1535,819
inference-A-0,218.74,1262.52,1529.58,2030,0
inference-A-0,217.58,1248.23,1454.52,1958,1134
inference-A-0,217.85,2577.18,3004.35,4673,1429
inference-A-0,217.62,2967.34,3157.36,4081,7831
inference-A-0,217.78,2892.98,3078.79,4215,3423
inference-A-0,218.14,2954.11,3300.88,4126,5478
inference-A-0,218.98,2529.31,5319.86,7900,6047
inference-A-0,218.27,2624.50,4859.42,6730,4667
inference-A-0,219.09,2721.31,4708.52,5956,4293
inference-A-0,218.39,2961.29,3224.57,4158,5162
inference-A-0,217.86,3020.29,3222.76,4127,5014
