timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3;nvidia_gpu_4;nvidia_gpu_5;nvidia_gpu_6;nvidia_gpu_7
1706242906.8541706;tokenizer;0.296001672744751;14981;15762;16799;15357;15691;15185;16538;15970
1706242907.1501722;pipeline load;37.9961211681366;2084476;2138217;2273646;2092464;2119524;2076712;2212802;2155949
1706242945.1462934;inference-0;34.384541273117065;2190819;2263716;2393291;2226966;2261264;2241017;2362288;2091578
1706242979.5308347;inference-1;19.569182872772217;1300256;1336173;1410452;1322220;1344437;1326893;1403455;1207070
1706242999.1000175;inference-2;27.658003568649292;1849932;1902005;2010582;1870692;1902560;1887934;1981712;1700812
1706243026.758021;inference-3;21.832459449768066;1453910;1497492;1581815;1480954;1501294;1494925;1563757;1342025
1706243048.5904806;inference-4;38.16911458969116;2576254;2631189;2771008;2592932;2639243;2608468;2746322;2343150
1706243086.7595952;inference-5;28.142985105514526;1884529;1932819;2041780;1905361;1940698;1921718;2019103;1729226
1706243114.9025803;inference-6;22.781951189041138;1520159;1563600;1651577;1540089;1564863;1553556;1631566;1401515
1706243137.6845315;inference-7;21.688583374023438;1439610;1488024;1572417;1460303;1496006;1471992;1545781;1335289
1706243159.3731148;inference-8;21.570398330688477;1441070;1476027;1559497;1460255;1490545;1473244;1547138;1322812
1706243180.9435132;inference-9;15.173960208892822;1005198;1039690;1098775;1024137;1045999;1032876;1084885;933272
1706243209.8194137;tokenizer;0.21404504776000977;10004;10445;16683;10254;10470;10086;10897;10475
1706243210.0334587;pipeline load;22.67621159553528;1242706;1275305;1352949;1244692;1272907;1234286;1315458;1273537
1706243232.7096703;inference-0;31.840298175811768;2065393;2124744;2244519;2089552;2124377;2101924;2206596;1939706
1706243264.5499685;inference-1;24.482590198516846;1630014;1683721;1768484;1657744;1688666;1661390;1753328;1499484
1706243289.0325587;inference-2;11.895446538925171;790589;812662;865948;800834;815780;812070;846004;728921
1706243300.9280052;inference-3;23.144099950790405;1541250;1587247;1674014;1570498;1593253;1575170;1652488;1420199
1706243324.0721052;inference-4;24.063660621643066;1602505;1656000;1739591;1623922;1663241;1636739;1724558;1481021
1706243348.1357658;inference-5;14.04860520362854;932467;958089;1018777;949681;962409;956280;1004446;858921
1706243362.184371;inference-6;15.399985074996948;1016507;1059235;1113130;1037317;1063820;1043802;1097346;950681
1706243377.584356;inference-7;20.949674606323242;1393380;1435903;1524367;1420638;1441820;1431974;1496032;1284859
1706243398.5340307;inference-8;17.762067556381226;1173148;1219716;1280906;1201982;1224798;1211341;1270282;1086812
1706243416.2960982;inference-9;22.95591378211975;1536813;1577108;1669402;1550860;1582453;1564822;1641367;1415458
1706243450.317448;tokenizer;2.5699503421783447;125147;135728;144233;133143;136020;130940;141615;130906
1706243452.8873982;pipeline load;22.910001039505005;1261102;1293095;1372319;1262447;1285695;1246963;1327875;1288561
1706243475.7973993;inference-0;21.328047513961792;1351728;1397902;1475375;1373908;1400393;1381340;1453312;1290436
1706243497.1254468;inference-1;16.43982243537903;1092208;1121609;1183122;1109389;1124683;1111486;1167093;1011242
1706243513.5652692;inference-2;15.437314510345459;1019874;1062047;1118748;1037258;1064338;1051580;1104008;944819
1706243529.0025837;inference-3;20.174657106399536;1344167;1378593;1460917;1363624;1390612;1373903;1441902;1240136
1706243549.1772408;inference-4;14.964269399642944;986492;1027664;1076713;1011166;1031580;1011715;1071281;919728
1706243564.1415102;inference-5;22.074167728424072;1474602;1517738;1602722;1493778;1516029;1506691;1573486;1351639
1706243586.215678;inference-6;15.962068796157837;1055357;1096626;1157423;1079689;1099726;1089478;1142762;981752
1706243602.1777468;inference-7;24.047033309936523;1603048;1648271;1739377;1622394;1654572;1634595;1718735;1475576
1706243626.22478;inference-8;33.864680767059326;2274232;2327877;2459197;2298193;2339286;2312355;2426491;2080123
1706243660.0894608;inference-9;19.565760612487793;1305882;1338647;1419296;1316851;1349813;1327665;1403220;1199010
1706243690.729098;tokenizer;0.26712799072265625;10008;15699;11098;10240;15701;10072;10886;10516
1706243690.996226;pipeline load;22.892531871795654;1259683;1291251;1369942;1260329;1284192;1243911;1325523;1286334
1706243713.888758;inference-0;26.78404211997986;1715814;1765621;1873482;1745529;1771785;1749851;1837887;1622000
1706243740.6728;inference-1;30.153369903564453;2020660;2072649;2185452;2038718;2078592;2053513;2155856;1849178
