timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3;nvidia_gpu_4;nvidia_gpu_5;nvidia_gpu_6;nvidia_gpu_7
1706245723.4973195;tokenizer;0.22811031341552734;15276;10560;10527;11150;18042;11393;10779;10578
1706245723.7254298;pipeline load;170.4495129585266;9439504;9745374;9789703;10264967;11060278;10564196;10038535;9917488
1706245894.1749427;inference-0;49.25831604003906;3392861;3516331;3535326;3669055;3916296;3790703;3624938;3222624
1706245943.4332588;inference-1;40.432271242141724;2907950;3013103;3029217;3142927;3355317;3265045;3110337;2714966
1706245983.86553;inference-2;60.71563243865967;4391064;4538022;4559304;4729377;5053097;4900438;4677678;4079870
1706246044.5811625;inference-3;33.4535346031189;2412240;2493942;2510411;2609610;2792279;2703709;2569458;2256203
1706246078.034697;inference-4;47.18591594696045;3404875;3530686;3540455;3680673;3934899;3818849;3639165;3175646
1706246125.220613;inference-5;42.81914782524109;3089344;3199078;3216874;3330696;3579026;3471365;3303481;2895895
1706246168.0397608;inference-6;49.40054130554199;3573756;3682696;3712013;3854958;4125323;4003550;3823811;3329837
1706246217.4403021;inference-7;56.64418911933899;4095249;4236608;4254133;4413680;4741289;4600658;4364541;3825725
1706246274.0844913;inference-8;38.271543979644775;2759654;2861147;2872927;2988186;3202530;3109163;2959920;2582716
1706246312.3560352;inference-9;47.72024083137512;3447267;3562318;3592416;3721777;3980975;3868304;3699230;3224739
1706246373.4089983;tokenizer;0.26444220542907715;10262;10655;15881;16812;18322;17408;16466;16099
1706246373.6734405;pipeline load;117.30980515480042;6529952;6736917;6775303;7097019;7691464;7352618;6964919;6871254
1706246490.9832456;inference-0;72.09472155570984;5110837;5271662;5302217;5506885;5888918;5717017;5428658;4796694
1706246563.0779672;inference-1;43.806150913238525;3163014;3272140;3286255;3413689;3651419;3545079;3368845;2953248
1706246606.884118;inference-2;37.89768409729004;2732083;2831971;2850372;2955354;3163767;3071684;2925456;2557183
