timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1
1706224065.5744665;tokenizer;0.31017374992370605;20629;16093
1706224065.8846402;pipeline load;29.241382360458374;1646424;1700624
1706224095.1260226;inference-0;19.96084952354431;1898199;1948508
1706224115.086872;inference-1;28.480206966400146;2932013;2975570
1706224143.567079;inference-2;19.984110116958618;2022140;2052427
1706224163.5511892;inference-3;22.39698362350464;2282716;2326737
1706224185.9481728;inference-4;29.940312147140503;3128143;3157636
1706224215.888485;inference-5;24.738446950912476;2567451;2583958
1706224240.626932;inference-6;14.296005249023438;1439286;1472098
1706224254.9229372;inference-7;17.38642930984497;1736330;1787702
1706224272.3093665;inference-8;13.204983949661255;1299520;1363365
1706224285.5143504;inference-9;17.326586723327637;1723881;1776368
1706224311.3150234;tokenizer;0.26844048500061035;10494;16443
1706224311.583464;pipeline load;27.51096200942993;1572906;1618637
1706224339.094426;inference-0;18.580007791519165;1790610;1846657
1706224357.6744337;inference-1;30.41351866722107;3213917;3245132
1706224388.0879524;inference-2;23.715765953063965;2478723;2500176
1706224411.8037183;inference-3;18.76518487930298;1930700;1955270
1706224430.5689032;inference-4;21.097184896469116;2155579;2201235
1706224451.666088;inference-5;17.467310667037964;1779582;1824768
1706224469.1333988;inference-6;19.99722981452942;2028034;2085556
1706224489.1306286;inference-7;20.25488567352295;2082696;2116238
1706224509.3855143;inference-8;16.06672739982605;1616424;1671768
1706224525.4522417;inference-9;16.22874140739441;1635617;1697533
1706224554.515875;tokenizer;0.2772984504699707;15740;16436
1706224554.7931736;pipeline load;28.573638439178467;1631290;1683932
1706224583.366812;inference-0;19.83456826210022;1902238;1963103
1706224603.2013803;inference-1;23.917017221450806;2438462;2481840
1706224627.1183975;inference-2;19.828092098236084;2014849;2067493
1706224646.9464896;inference-3;16.118782997131348;1617458;1655404
1706224663.0652726;inference-4;18.178961992263794;1814014;1880567
1706224681.2442346;inference-5;21.62919282913208;2189623;2236283
1706224702.8734274;inference-6;20.711461782455444;2099720;2146482
1706224723.5848892;inference-7;21.52846121788025;2199405;2236489
1706224745.1133504;inference-8;16.14891791343689;1603442;1665698
1706224761.2622683;inference-9;22.423306465148926;2284828;2336122
1706224793.4626577;tokenizer;0.3738710880279541;21008;21900
1706224793.8365288;pipeline load;28.044321298599243;1601669;1654007
1706224821.88085;inference-0;31.227133989334106;3189283;3202864
