timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/04/22 09:30:13.876, 55.66 W, 0 %, 0 %
2024/04/22 09:30:13.882, 52.45 W, 0 %, 0 %
2024/04/22 09:30:13.888, 51.79 W, 0 %, 0 %
2024/04/22 09:30:13.996, 55.66 W, 0 %, 0 %
2024/04/22 09:30:14.000, 52.12 W, 0 %, 0 %
2024/04/22 09:30:14.006, 52.06 W, 0 %, 0 %
2024/04/22 09:30:14.111, 55.66 W, 0 %, 0 %
2024/04/22 09:30:14.116, 52.45 W, 0 %, 0 %
2024/04/22 09:30:14.124, 51.74 W, 0 %, 0 %
2024/04/22 09:30:14.228, 55.66 W, 0 %, 0 %
2024/04/22 09:30:14.233, 52.45 W, 0 %, 0 %
2024/04/22 09:30:14.239, 51.79 W, 0 %, 0 %
2024/04/22 09:30:14.344, 55.66 W, 0 %, 0 %
2024/04/22 09:30:14.349, 52.12 W, 0 %, 0 %
2024/04/22 09:30:14.353, 51.74 W, 0 %, 0 %
2024/04/22 09:30:14.460, 55.61 W, 0 %, 0 %
2024/04/22 09:30:14.465, 52.45 W, 0 %, 0 %
2024/04/22 09:30:14.469, 51.74 W, 0 %, 0 %
2024/04/22 09:30:14.574, 55.61 W, 0 %, 0 %
2024/04/22 09:30:14.580, 52.12 W, 0 %, 0 %
2024/04/22 09:30:14.584, 52.06 W, 0 %, 0 %
2024/04/22 09:30:14.691, 55.66 W, 0 %, 0 %
2024/04/22 09:30:14.699, 52.12 W, 0 %, 0 %
2024/04/22 09:30:14.711, 51.79 W, 0 %, 0 %
2024/04/22 09:30:14.816, 55.34 W, 0 %, 0 %
2024/04/22 09:30:14.821, 52.45 W, 0 %, 0 %
2024/04/22 09:30:14.826, 52.06 W, 0 %, 0 %
2024/04/22 09:30:14.930, 55.61 W, 0 %, 0 %
2024/04/22 09:30:14.935, 52.12 W, 0 %, 0 %
2024/04/22 09:30:14.940, 51.79 W, 0 %, 0 %
2024/04/22 09:30:15.045, 55.34 W, 0 %, 0 %
2024/04/22 09:30:15.049, 52.12 W, 0 %, 0 %
2024/04/22 09:30:15.054, 52.06 W, 0 %, 0 %
2024/04/22 09:30:15.159, 55.66 W, 0 %, 0 %
2024/04/22 09:30:15.163, 52.45 W, 0 %, 0 %
2024/04/22 09:30:15.171, 51.79 W, 0 %, 0 %
2024/04/22 09:30:15.275, 55.61 W, 0 %, 0 %
2024/04/22 09:30:15.282, 52.45 W, 0 %, 0 %
2024/04/22 09:30:15.286, 51.79 W, 0 %, 0 %
2024/04/22 09:30:15.391, 55.61 W, 0 %, 0 %
2024/04/22 09:30:15.396, 52.12 W, 0 %, 0 %
2024/04/22 09:30:15.401, 51.74 W, 0 %, 0 %
2024/04/22 09:30:15.506, 55.66 W, 0 %, 0 %
2024/04/22 09:30:15.511, 52.12 W, 0 %, 0 %
2024/04/22 09:30:15.520, 51.74 W, 0 %, 0 %
2024/04/22 09:30:15.625, 55.66 W, 0 %, 0 %
2024/04/22 09:30:15.630, 52.45 W, 0 %, 0 %
2024/04/22 09:30:15.635, 52.06 W, 0 %, 0 %
