timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/04/03 10:46:12.466, 29.97 W, 0 %, 0 %
2024/04/03 10:46:12.572, 30.07 W, 0 %, 0 %
2024/04/03 10:46:12.676, 30.07 W, 0 %, 0 %
2024/04/03 10:46:12.781, 30.07 W, 0 %, 0 %
2024/04/03 10:46:12.886, 30.07 W, 0 %, 0 %
2024/04/03 10:46:12.990, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.095, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.199, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.304, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.409, 29.97 W, 0 %, 0 %
2024/04/03 10:46:13.513, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.618, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.722, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.827, 30.07 W, 0 %, 0 %
2024/04/03 10:46:13.932, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.037, 30.16 W, 0 %, 0 %
2024/04/03 10:46:14.142, 30.16 W, 0 %, 0 %
2024/04/03 10:46:14.246, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.352, 30.16 W, 0 %, 0 %
2024/04/03 10:46:14.457, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.562, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.666, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.771, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.875, 30.07 W, 0 %, 0 %
2024/04/03 10:46:14.980, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.085, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.189, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.293, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.398, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.504, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.608, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.713, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.817, 30.07 W, 0 %, 0 %
2024/04/03 10:46:15.922, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.027, 29.92 W, 0 %, 0 %
2024/04/03 10:46:16.132, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.236, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.341, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.446, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.551, 30.16 W, 0 %, 0 %
2024/04/03 10:46:16.656, 30.07 W, 0 %, 0 %
2024/04/03 10:46:16.760, 30.16 W, 0 %, 0 %
2024/04/03 10:46:16.864, 30.16 W, 0 %, 0 %
2024/04/03 10:46:16.969, 30.16 W, 0 %, 0 %
2024/04/03 10:46:17.075, 29.97 W, 0 %, 0 %
2024/04/03 10:46:17.179, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.284, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.388, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.492, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.598, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.703, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.807, 30.07 W, 0 %, 0 %
2024/04/03 10:46:17.912, 30.07 W, 0 %, 0 %
2024/04/03 10:46:18.016, 30.07 W, 0 %, 0 %
2024/04/03 10:46:18.122, 30.07 W, 0 %, 0 %
2024/04/03 10:46:18.226, 30.07 W, 0 %, 0 %
